FID;Country;City;LATITUDE;LONGITUDE;Year;temperature;rainfall
0;Brazil;Aracaju;-10,91001463;-37,06827396;1910;25,45053101;167,96472
1;Brazil;Espírito Santo;-6,332912579;-35,31173935;1910;26,07107544;114,85933
2;Brazil;Goiás;-15,94084654;-50,14335155;1910;25,7696228;352,58104
3;Brazil;Manaus;-3,119430177;-60,02210939;1910;27,10464478;258,62273
4;Brazil;Porto Alegre;-30,03273162;-51,20744119;1910;18,99676514;551,59969
5;Brazil;Rio de Janeiro;-22,91386831;-43,20104149;1910;22,36853027;162,34686
6;Brazil;Salvador;-12,97268115;-38,50170768;1910;24,83029175;119,53278
7;Brazil;São Paulo;-23,53386339;-46,64031822;1910;18,48110962;147,92377
8;USA;Miami;25,761681;-80,191788;1910;22,84225464;411,4606
9;USA;Sacramento;38,5801979;-121,4897108;1910;16,21310425;18,76337
10;USA;Des Moines;41,58649;-93,6044048;1910;9,372650146;264,34018
11;USA;Nashville;36,1781259;-86,7601763;1910;14,36010742;177,01879
12;USA;Springfield;39,7653449;-89,780073;1910;10,78451538;118,51673
13;USA;Alaska;58,4035002;-134,3422162;1910;3,090545654;162,65281
14;Canada;Toronto;43,6827635;-79,5539132;1910;6,420196533;440,1637
15;Mexico;Mexico City;19,3828594;-99,3634766;1910;13,45501709;521,68853
16;South Africa;Johanesburgo;-25,867413;28,0265434;1910;16,25448608;601,12093
17;Russia;Moscou;55,766667;37,666667;1910;5,259674072;25,14265
18;Italy;Veneza;45,433333;12,1333333;1910;12,77529907;199,81932
19;Australia;Sydney;-33,8498719;151,1658965;1910;18,13574219;57,0236
20;Colombia;Bogota;4,6850012;-74,1049702;1910;14,61126709;300,56899
0;Brazil;Aracaju;-10,91001463;-37,06827396;2010;26,46670532;370,910222
1;Brazil;Espírito Santo;-6,332912579;-35,31173935;2010;26,73336792;477,833347
2;Brazil;Goiás;-15,94084654;-50,14335155;2010;27,02505493;306,107825
3;Brazil;Manaus;-3,119430177;-60,02210939;2010;28,50827026;142,919264
4;Brazil;Porto Alegre;-30,03273162;-51,20744119;2010;20,51669312;201,533595
5;Brazil;Rio de Janeiro;-22,91386831;-43,20104149;2010;24,15002441;488,30677
6;Brazil;Salvador;-12,97268115;-38,50170768;2010;25,59997559;421,331601
7;Brazil;São Paulo;-23,53386339;-46,64031822;2010;20,81665039;304,723249
8;USA;Miami;25,761681;-80,191788;2010;24,33328247;492,210234
9;USA;Sacramento;38,5801979;-121,4897108;2010;15,62496948;64,580457
10;USA;Des Moines;41,58649;-93,6044048;2010;10,46664429;28,15003
11;USA;Nashville;36,1781259;-86,7601763;2010;15,15835571;380,6441
12;USA;Springfield;39,7653449;-89,780073;2010;12,7250061;317,338055
13;USA;Alaska;58,4035002;-134,3422162;2010;4,983306885;9,438145
14;Canada;Toronto;43,6827635;-79,5539132;2010;8,166656494;284,813902
15;Mexico;Mexico City;19,3828594;-99,3634766;2010;14,24163818;460,087664
16;South Africa;Johanesburgo;-25,867413;28,0265434;2010;19,2583313;39,83165
17;Russia;Moscou;55,766667;37,666667;2010;6,341674805;68,057925
18;Italy;Veneza;45,433333;12,1333333;2010;13,5083313;420,580936
19;Australia;Sydney;-33,8498719;151,1658965;2010;17,9750061;147,54617
20;Colombia;Bogota;4,6850012;-74,1049702;2010;15,80838013;301,69872
