Specie;ID
Abarema sp.;sp1
Abuta selloana;sp2
Acacia sp.;sp3
Acanthaceae cf.;sp4
Acanthaceae sp.;sp5
Actnostemon cf.;sp6
Alchornea glandulosa;sp7
Alchornea sp.;sp8
Alchornea triplinervia ;sp9
Alibertia cf. myrciifolia;sp10
Allophylus sp.;sp11
Amaioua intermedia;sp12
Andira anthelmia;sp13
Aniba sp.;sp14
Annona sp.;sp15
Anthurium cf. loefgrenii;sp16
Anthurium cf. scandens;sp17
Anthurium pentaphyllum;sp18
Anthurium scandens;sp19
Anthurium sp.;sp20
Aphelandra ornata;sp21
Aphelandra sp.;sp22
Apiaceae sp.;sp23
Apocynaceae sp.;sp24
Apocynaceae sp. 1;sp25
Apocynaceae sp. 2;sp26
Araceae cf.;sp27
Araceae sp.;sp28
Araceae sp. 1;sp29
Ardisia cf.;sp30
Ardisia guianensis;sp31
Arecaceae sp.;sp32
Aspidosperma sp.;sp33
Asplenium cf. uniseriale;sp34
Asteraceae cf.;sp35
Asteraceae sp.;sp36
Asteraceae sp. 1;sp37
Astrocaryum aculeatissimum;sp38
Attalea dubia;sp39
Bactris setosa;sp40
Bathysa australis;sp41
Becheria sp.;sp42
Begonia sp.;sp43
Begonia sp. ;sp44
Begonia sp. 1;sp45
Begonia sp. 2;sp46
Begonia sp. 3;sp47
Begonia sp. 4;sp48
Bignoniaceae cf.;sp49
Bignoniaceae sp.;sp50
Bignoniaceae sp. 1;sp51
Blechnaceae sp.;sp52
Blechnum sampaioanum;sp53
Borreria sp.;sp54
Bromeliaceae sp.;sp55
Brosimum sp.;sp56
Brunfelsia sp.;sp57
Cabralea canjerana;sp58
Calophyllum brasiliense;sp59
Calyptranthes cf.;sp60
Calyptranthes cf. lucida;sp61
Calyptranthes lanceolata;sp62
Campomanesia guaviroba;sp63
Campyloneurum acrocarpon;sp64
Casearia cf.;sp65
Casearia cf. sylvestris;sp66
Casearia decandra;sp67
Casearia obliqua;sp68
Casearia sp.;sp69
Celastraceae cf.;sp70
Chionanthus filiformis;sp71
Chrysophyllum cf.;sp72
Chrysophyllum cf. flexuosum;sp73
Chrysophyllum flexuosum;sp74
Chrysophyllum inornatum;sp75
Chusquea sp.;sp76
Chusquea sp. 1;sp77
Chusquea sp. 2;sp78
Cinnamodendron dinisii;sp79
Cissus cf.;sp80
Clethra sp.;sp81
Clusia sp.;sp82
Coccocypselum cf.;sp83
Coccocypselum sp.;sp84
Commelinaceae cf.;sp85
Commelinaceae sp.;sp86
Connarus cf.;sp87
Connarus rostratus;sp88
Copaifera trapezifolia;sp89
Cordia sellowiana;sp90
Croton sp.;sp91
Cryptocarya mandioccana;sp92
Ctenanthe lanceolata;sp93
Ctenitis aspidioides;sp94
Cucurbitaceae sp.;sp95
Cupania cf.;sp96
Cupania oblongifolia;sp97
Cupania sp.;sp98
Cupania vernalis;sp99
Cyperaceae cf.;sp100
Cyperaceae sp.;sp101
Dahlstedtia pinnata;sp102
Dalbergia frutescens;sp103
Dalechampia sp.;sp104
Daphnopsis schwackeana;sp105
Dendropanax sp.;sp106
Dichorisandra cf. paranaensis;sp107
Dichorisandra cf. thyrsiflora;sp108
Dichorisandra paranaensis;sp109
Dichorisandra pubescens;sp110
Dichorisandra sp.;sp111
Diploon cuspidatum;sp112
Doliocarpus sp.;sp113
Elaphoglossum glaziovii;sp114
Elaphoglossum sp.;sp115
Elophoglossum sp. 1;sp116
Endlicheria paniculata;sp117
Erythroxylum cf. ambiguum;sp118
Erythroxylum sp.;sp119
Eugenia aff. stigmatosa;sp120
Eugenia cerasiflora;sp121
