Id-plot,Location,Treatment,Longitude,Latitude,Elevation,Canopy_gap,Inclination,Bearing,pH_H2O,pH_CaCl2,SB,CTC,V,m,P,K,Ca,Mg,Al,H_Al,MO ,AT,Silte,Argila,Texture,Richness,Abundance,Density,Diversity,Fun_diversity,Phi_diversity,N_M_Trees_adult,N_M_Eedulis_adult,Ed_seeds_available,Ed_seeds_preyed,Herbivory_total
CBO_p01o,CBO,open,-47.993563,-24.067067,728.286133,67.39,22,57,47,39,8,138,58,8298,54,0,5,3,39,13,947,204,332,464,arg,36,574,63.77777778,,,,20,0,20,0,
CBO_p01c,CBO,closed,-47.993587,-24.067012,730.712769,72.22,31,59,46,38,14,145,97,7308,43,0,6,8,38,131,835,124,414,462,arg,34,634,70.44444444,,,,26,0,20,0,
CBO_p02o,CBO,open,-47.992218,-24.067741,739.851257,66.94,45,36,45,37,15,143,105,7414,57,10,8,7,43,128,70,304,327,369,arg,19,309,34.33333333,,,,20,3,20,0,
CBO_p02c,CBO,closed,-47.992151,-24.067649,743.490845,65.92,42,27,41,35,2,187,107,697,105,15,13,7,46,167,1059,277,330,393,arg,19,349,38.77777778,,,,21,4,20,0,
CBO_p04o,CBO,open,-47.990493,-24.066214,826.624512,64.56,25,130,37,31,7,152,46,8704,44,9,3,4,47,145,896,481,261,258,md-arg,21,241,26.77777778,,,,36,0,20,1,
CBO_p04c,CBO,closed,-47.990394,-24.066304,823.626648,67.88,34,148,38,31,14,246,57,8133,39,55,5,8,61,232,1589,244,462,294,md-arg,28,355,39.44444444,,,,29,0,20,19,
CBO_p05o,CBO,open,-47.989345,-24.065651,772.302551,77.31,16,213,41,34,14,122,115,6889,73,0,1,4,31,108,70,247,475,278,md-arg,18,213,23.66666667,,,,14,0,20,1,
CBO_p05c,CBO,closed,-47.989469,-24.065634,771.00354,72.43,18,37,42,35,11,129,85,78,47,26,7,3,39,118,526,262,483,255,md-arg,23,254,28.22222222,,,,17,0,20,0,
CBO_p06o,CBO,open,-47.987841,-24.064103,807.0578,70.09,18,151,37,31,5,171,29,9231,35,0,3,2,6,166,1095,183,471,346,md-arg,34,759,84.33333333,,,,23,0,20,20,
CBO_p06c,CBO,closed,-47.987782,-24.064063,805.889343,70.62,11,136,36,3,7,219,32,8939,43,31,3,3,59,212,1168,219,443,338,md-arg,20,458,50.88888889,,,,20,2,20,20,
CBO_p09o,CBO,open,-47.98609,-24.071048,727.443481,69.88,3,118,43,37,9,143,63,85,59,7,5,4,51,134,761,274,393,333,md-arg,23,305,33.88888889,,,,20,0,20,16,
CBO_p09c,CBO,closed,-47.986205,-24.071008,727.91449,70.62,8,779,45,38,16,121,132,6735,79,0,11,5,33,105,681,300,365,334,md-arg,27,463,51.44444444,,,,22,1,20,20,
CBO_p11o,CBO,open,-47.985698,-24.062906,804.268616,64.4,16,149,4,33,5,152,33,8958,29,1,3,2,43,147,998,507,236,257,md-arg,33,556,61.77777778,,,,21,1,20,0,
CBO_p11c,CBO,closed,-47.985811,-24.062904,802.03241,61.18,15,122,39,33,6,136,44,8537,73,0,3,3,35,13,924,582,185,232,md-ar,29,637,70.77777778,,,,24,3,20,0,
CBO_p12o,CBO,open,-47.986058,-24.064589,746.259644,71.97,35,274,45,4,14,137,102,6818,78,0,9,5,3,123,786,255,323,422,arg,19,268,29.77777778,,,,21,0,20,0,
CBO_p12c,CBO,closed,-47.986035,-24.06442,747.127075,73.2,25,265,43,37,1,76,132,7917,43,0,6,4,38,66,427,279,435,285,md-arg,12,269,29.88888889,,,,28,3,20,0,
CBO_p14o,CBO,open,-47.983904,-24.062175,745.258972,68.66,15,275,45,38,1,8,125,7619,41,0,7,3,32,7,421,225,447,329,md-arg,23,287,31.88888889,,,,9,3,20,0,
CBO_p14c,CBO,closed,-47.984013,-24.06219,748.46936,73.34,9,277,46,38,14,134,104,5758,57,0,9,5,19,12,729,267,307,426,arg,26,385,42.77777778,,,,20,4,20,1,
