ID,Soil,Rep,CH4mg,CO2mg,N2O
10A,Fauned,2,-0.028,183.03033333333335,1.1023333333333336
10F,Defauned,2,-0.08066666666666668,438.311,5.726
11A,Fauned,2,0.48433333333333334,350.81533333333334,3.963
11F,Defauned,2,-0.020666666666666663,262.5226666666667,4.317
12A,Fauned,2,-0.21600000000000003,313.5683333333333,3.59
12F,Defauned,2,-0.14566666666666667,220.29066666666668,2.099333333333333
14A,Fauned,2,-0.2826666666666667,403.02366666666666,8.757
14F,Defauned,2,-0.38366666666666666,185.659,-0.9603333333333333
15A,Fauned,2,0.031,350.563,0.24266666666666659
15F,Defauned,2,-0.021666666666666667,384.94266666666664,-1.3046666666666666
1A,Fauned,2,-0.225,199.23966666666666,0.7599999999999999
1F,Defauned,2,-0.293,213.704,3.2813333333333334
2A,Fauned,2,-0.10033333333333333,163.83533333333332,5.442666666666667
2F,Defauned,2,-0.389,205.24566666666666,2.54
3A,Fauned,2,-0.08366666666666665,298.16433333333333,2.4139999999999997
3F,Defauned,2,0.35233333333333333,219.98033333333333,2.4073333333333333
4A,Fauned,2,-0.09066666666666667,111.017,-1.2566666666666668
4F,Defauned,2,-0.115,181.57333333333332,3.3926666666666665
5A,Fauned,2,-0.39333333333333337,356.085,1.4946666666666666
5F,Defauned,2,-0.04733333333333332,262.4436666666667,2.1413333333333333
8A,Fauned,2,-0.4066666666666667,320.665,-1.3890000000000002
8F,Defauned,2,-0.25,390.66366666666664,1.288
9A,Fauned,2,-0.4033333333333333,385.9436666666667,-2.8883333333333336
9F,Defauned,2,-0.104,373.035,1.2089999999999999
