SITE,CAMPAIGN,PLOT,GRID,BM_TOTAL_g,BM_WLP_g,BM_TAPIR_g,BM_RATS_g,BM_MARSU_g,BM_small_g,effort_days,total_trampling_day,WLP_trampling_day,TAPIR_trampling_day,Rats_trampling_day,Opossum_trampling_day,SMALL_trampling_day
CB,APRIL_2017,1,CLOSE,160,0,0,0,60,60,35,4.571428571,0,0,0,1.714285714,1.714285714
CB,APRIL_2017,1,OPEN,29700,0,0,1220,1620,2840,35,848.5714286,0,0,34.85714286,46.28571429,81.14285714
CB,APRIL_2017,2,CLOSE,1500,0,0,60,0,60,35,42.85714286,0,0,1.714285714,0,1.714285714
CB,APRIL_2017,2,OPEN,368000,0,0,0,60,60,35,10514.28571,0,0,0,1.714285714,1.714285714
CB,APRIL_2017,4,CLOSE,8000,0,0,0,0,0,8,1000,0,0,0,0,0
CB,APRIL_2017,4,OPEN,3210,0,0,430,0,430,33,97.27272727,0,0,13.03030303,0,13.03030303
CB,APRIL_2017,5,CLOSE,310,0,0,60,0,60,36,8.611111111,0,0,1.666666667,0,1.666666667
CB,APRIL_2017,5,OPEN,4730,0,0,0,0,0,36,131.3888889,0,0,0,0,0
CB,APRIL_2017,6,CLOSE,0,0,0,0,0,0,32,0,0,0,0,0,0
CB,APRIL_2017,6,OPEN,25210,0,0,0,0,0,32,787.8125,0,0,0,0,0
CB,APRIL_2017,9,CLOSE,1860,0,0,0,1120,1520,36,51.66666667,0,0,0,31.11111111,42.22222222
CB,APRIL_2017,9,OPEN,11390,0,0,0,0,1600,36,316.3888889,0,0,0,0,44.44444444
CB,APRIL_2017,11,CLOSE,3630,0,0,230,0,3430,37,98.10810811,0,0,6.216216216,0,92.7027027
CB,APRIL_2017,11,OPEN,756030,0,750000,90,1800,1890,37,20433.24324,0,20270.27027,2.432432432,48.64864865,51.08108108
CB,APRIL_2017,12,CLOSE,141,0,0,60,60,120,37,3.810810811,0,0,1.621621622,1.621621622,3.243243243
CB,APRIL_2017,12,OPEN,6510,0,0,60,1560,1620,35,186,0,0,1.714285714,44.57142857,46.28571429
CB,APRIL_2017,14,CLOSE,840,0,0,60,0,60,37,22.7027027,0,0,1.621621622,0,1.621621622
CB,APRIL_2017,14,OPEN,716190,0,600000,0,960,960,37,19356.48649,0,16216.21622,0,25.94594595,25.94594595
CB,APRIL_2017,15,CLOSE,210,0,0,0,180,180,37,5.675675676,0,0,0,4.864864865,4.864864865
CB,APRIL_2017,15,OPEN,69160,0,0,0,660,660,37,1869.189189,0,0,0,17.83783784,17.83783784
CB,OCT_2017,1,CLOSE,600,0,0,0,600,600,49,12.24489796,0,0,0,12.24489796,12.24489796
CB,OCT_2017,1,OPEN,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CB,OCT_2017,2,CLOSE,0,0,0,0,0,0,51,0,0,0,0,0,0
CB,OCT_2017,2,OPEN,2268500,0,1950000,0,0,0,51,44480.39216,0,38235.29412,0,0,0
CB,OCT_2017,4,CLOSE,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CB,OCT_2017,4,OPEN,187020,0,0,120,300,1020,46,4065.652174,0,0,2.608695652,6.52173913,22.17391304
CB,OCT_2017,5,CLOSE,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CB,OCT_2017,5,OPEN,177280,0,150000,0,1800,1800,54,3282.962963,0,2777.777778,0,33.33333333,33.33333333
CB,OCT_2017,6,CLOSE,460,0,0,0,300,300,53,8.679245283,0,0,0,5.660377358,5.660377358
CB,OCT_2017,6,OPEN,116300,0,0,0,300,300,52,2236.538462,0,0,0,5.769230769,5.769230769
CB,OCT_2017,9,CLOSE,300,0,0,0,300,300,42,7.142857143,0,0,0,7.142857143,7.142857143
CB,OCT_2017,9,OPEN,377640,0,0,0,360,1560,51,7404.705882,0,0,0,7.058823529,30.58823529
CB,OCT_2017,11,CLOSE,200,0,0,0,0,200,52,3.846153846,0,0,0,0,3.846153846
CB,OCT_2017,11,OPEN,5815280,0,5700000,400,600,3200,52,111832.3077,0,109615.3846,7.692307692,11.53846154,61.53846154
CB,OCT_2017,12,CLOSE,2420,0,0,0,2100,2100,50,48.4,0,0,0,42,42
CB,OCT_2017,12,OPEN,105160,0,0,0,0,0,26,4044.615385,0,0,0,0,0
CB,OCT_2017,14,CLOSE,1640,0,0,0,1600,1600,50,32.8,0,0,0,32,32
CB,OCT_2017,14,OPEN,521940,0,0,0,0,400,51,10234.11765,0,0,0,0,7.843137255
CB,OCT_2017,15,CLOSE,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CB,OCT_2017,15,OPEN,3302100,0,3300000,0,2100,2100,51,64747.05882,0,64705.88235,0,41.17647059,41.17647059
IC,MAY_2017,1,CLOSE,180,0,0,0,0,0,1,180,0,0,0,0,0
IC,MAY_2017,1,OPEN,0,0,0,0,0,0,0,0,0,0,0,0,0
IC,MAY_2017,2,CLOSE,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA
IC,MAY_2017,2,OPEN,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA
IC,MAY_2017,3,CLOSE,1120,0,0,0,1000,1000,19,58.94736842,0,0,0,52.63157895,52.63157895
IC,MAY_2017,3,OPEN,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
IC,MAY_2017,4,CLOSE,0,0,0,0,0,0,19,0,0,0,0,0,0
IC,MAY_2017,4,OPEN,55000,30000,0,0,0,0,19,2894.736842,1578.947368,0,0,0,0
IC,MAY_2017,5,CLOSE,360,0,0,60,0,60,19,18.94736842,0,0,3.157894737,0,3.157894737
IC,MAY_2017,5,OPEN,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
IC,MAY_2017,8,CLOSE,120,0,0,0,0,0,19,6.315789474,0,0,0,0,0
IC,MAY_2017,8,OPEN,600600,600000,0,0,0,0,19,31610.52632,31578.94737,0,0,0,0
IC,MAY_2017,9,CLOSE,60,0,0,0,0,0,19,3.157894737,0,0,0,0,0
IC,MAY_2017,9,OPEN,0,0,0,0,0,0,19,0,0,0,0,0,0
