SITE,PLOT,GRID,efforts_hours,BM_TOTAL_g,BM_Medium_Large_g,BM_small_g,total_trampling_day,Medium_Large_trampling_day,SMALL_trampling_day
CB,1,CLOSE,1008,5.942799375126701,5.802118375377063,5.802118375377063,2.241577744906629,2.0768872619079874,2.0768872619079874
CB,1,OPEN,420,9.605822482030945,7.259116128097101,7.259116128097101,6.052761211994054,3.7274131182020898,3.727413118081815
CB,2,CLOSE,1032,6.621405651764134,3.4339872044851463,3.4339872044851463,3.110335656356689,0.6190392083293003,0.6190392083293003
CB,2,OPEN,1032,14.09181641597388,13.790224544346334,3.4339872044851463,10.22188087946673,9.858464255456264,0.6190392083293003
CB,4,CLOSE,96,8.294299608857235,0,0,6.2166061010848646,0,0
CB,4,OPEN,948,11.462852478335789,6.054439346269371,6.587550014824796,7.641306342970876,2.491581730616535,2.923274909512259
CB,5,CLOSE,432,5.049856007249537,3.4339872044851463,3.4339872044851463,1.6687544895800486,0.6061358036612248,0.6061358036612248
CB,5,OPEN,1080,11.418680717391366,11.237185138527495,6.803505257608338,7.443181370185948,7.2488991263784195,2.8716796247896728
CB,6,CLOSE,1020,5.442417710521793,5.017279836814924,5.017279836814924,1.675154984089349,1.342914065425626,1.342914065425626
CB,6,OPEN,1008,11.166992617563398,5.017279836814924,5.017279836814924,7.321965689217605,1.3570239787900744,1.3570239787900744
CB,9,CLOSE,936,6.985641817639208,6.566672429803241,6.814542897259958,3.4145992378063363,3.002061408581585,3.2458113711864223
CB,9,OPEN,1044,12.178269700868086,5.198497031265826,7.365812837209472,8.258823259188722,1.5105920777520132,3.651082563334329
CB,11,CLOSE,1068,7.557994958530806,4.7535901911063645,7.504391559161238,3.9508038329613173,1.412962608175736,3.8974052501911567
CB,11,OPEN,1068,15.005076885550336,14.986891779816302,7.842278779117352,11.099434870676726,11.081819163673753,4.048471138152613
CB,12,CLOSE,1044,7.155786545804125,7.01301578963963,7.01301578963963,3.299733169453428,3.1621624630273293,3.162162463006162
CB,12,OPEN,732,10.930174101632648,6.698268054115413,6.698268054115413,7.657428194741435,3.1839885658322573,3.1839885659565175
CB,14,CLOSE,1044,7.123672785204607,6.7226297948554485,6.7226297948554485,3.3586847696169913,2.879805621868905,2.879805621868905
CB,14,OPEN,1056,13.335967169569273,12.613139803005017,6.523562306149512,9.602132568396827,9.002341691325567,2.8844957279357177
CB,15,CLOSE,444,4.663439094112067,4.51085950651685,4.51085950651685,1.3449091449992898,1.233269173834052,1.233269173834052
CB,15,OPEN,1056,14.337650532380364,14.317122465509911,7.2305631534092925,10.413586632568128,10.385402717213466,3.4179612205336616
IC,1,CLOSE,680,4.9003242732785735,0,0,4.136672668365294,0,0
IC,1,OPEN,672,10.789202231611455,10.599655166989571,4.795790545596741,7.077778664545906,6.872298822056567,1.4027486330433043
IC,2,CLOSE,544,6.010449847019062,5.870238089673838,5.870238089673838,2.640032484045209,2.5090485997346135,2.5090485997346135
