Id-plot,Location,Treatment,Longitude,Latitude,Elevation,Inclination,Bearing,Richness,Abundance,Density,D_Shannon,D_Simpson,S_Evenness,Canopy_cover,N_M_Trees_adult,N_M_Eedulis_adult,FRic,FEve,FDiv,FDis,Rao,leaf_thickness,seed_mass,leaf_area,sla,seed_length,carbon_nitro,leaf_damage,ME,MI,PAT,MIN,GAL,Ed_seeds_available,Ed_seeds_preyed,Ed_predation_efforts_hours,BM_mammals_efforts_hours,BM_small_g,BM_Medium_Large_g,BM_TOTAL_g,SMALL_trampling_day,Medium_Large_trampling_day,total_trampling_day,GHG_Rep,GHG_CH4,GHG_CO2,GHG_N2O,pH_H2O,pH_CaCl2,SB,CTC,V,m,P,K,Ca,Mg,Al,H_Al,MO ,AT,Silte,Argila,Texture
CBO_p01o,CBO,open,-47.993563,-24.067067,728.286133,22,57,36,87,9.666666667,2.748295625,0.858725762,0.196623094,67.39,20,0,2.40E-05,0.748210406,0.614431503,0.047180413,0.003904673,0.224037131,758.314906,10360.87226,8623.69403,12.61669892,14.66808101,3,1,1,1,1,0,20,0,720,420,7.259116128,7.259116128,9.605822482,3.727413118,3.727413118,6.052761212,NA,NA,NA,NA,47,39,8,138,58,8298,54,0,5,3,39,13,947,204,332,464,arg
CBO_p01c,CBO,closed,-47.993587,-24.067012,730.712769,31,59,36,133,14.77777778,3.249117863,0.947284978,0.526942356,72.22,26,0,0.010327606,0.827017315,0.499009868,0.059010889,0.008968879,1.285876598,985.3324529,17068.76375,13233.96747,10.29671697,13.82951781,2,1,1,1,0,0,20,0,720,1008,5.802118375,5.802118375,5.942799375,2.076887262,2.076887262,2.241577745,NA,NA,NA,NA,46,38,14,145,97,7308,43,0,6,8,38,131,835,124,414,462,arg
CBO_p02o,CBO,open,-47.992218,-24.067741,739.851257,45,36,20,64,7.111111111,2.186019241,0.764060357,0.211918605,66.94,20,3,0.00041565,0.845336652,0.504156063,0.05347222,0.004817344,0.205706203,1299.917713,12923.09204,18.08662815,17.25440222,15.59480583,2,1,1,1,0,0,20,0,720,1032,3.433987204,13.79022454,14.09181642,0.619039208,9.858464255,10.22188088,NA,NA,NA,NA,45,37,15,143,105,7414,57,10,8,7,43,128,70,304,327,369,arg
CBO_p02c,CBO,closed,-47.992151,-24.067649,743.490845,42,27,20,54,6,2.479358629,0.872558594,0.392337165,65.92,21,4,0.112768085,0.886130412,0.646422182,0.068933438,0.011303054,2.295433054,1267.687535,7885.036866,9023.382742,14.69317517,14.36384605,2,1,1,1,0,0,20,0,720,1032,3.433987204,3.433987204,6.621405652,0.619039208,0.619039208,3.110335656,NA,NA,NA,NA,41,35,2,187,107,697,105,15,13,7,46,167,1059,277,330,393,arg
CBO_p04o,CBO,open,-47.990493,-24.066214,826.624512,25,130,22,59,6.555555556,2.859010553,0.930785124,0.656716418,64.56,36,0,1.48E-05,0.797203729,0.602811124,0.07428387,0.005454926,0.211199944,3257.846455,11776.33416,9520.869699,12.17784903,17.292902,1,0,0,1,0,0,20,1,720,948,6.587550015,6.054439346,11.46285248,2.92327491,2.491581731,7.641306343,NA,NA,NA,NA,37,31,7,152,46,8704,44,9,3,4,47,145,896,481,261,258,md-arg
CBO_p04c,CBO,closed,-47.990394,-24.066304,823.626648,34,148,29,44,4.888888889,3.108946826,0.942832519,0.603188356,67.88,29,0,0.004902989,0.797457102,0.73329546,0.108949046,0.018531679,0.183099299,2573.535396,11117.50524,36276.35858,16.52790832,16.59894289,1,1,0,0,0,0,20,19,720,96,0,0,8.294299609,0,0,6.216606101,NA,NA,NA,NA,38,31,14,246,57,8133,39,55,5,8,61,232,1589,244,462,294,md-arg
CBO_p05o,CBO,open,-47.989345,-24.065651,772.302551,16,213,20,68,7.555555556,2.760705867,0.920379839,0.627981651,77.31,14,0,4.45E-07,0.847755454,0.590458525,0.015163204,0.000277407,0.209230429,823.0207308,8569.908018,16.83108942,8.317339954,12.57164416,3,1,1,1,0,0,20,1,720,1080,6.803505258,11.23718514,11.41868072,2.871679625,7.248899126,7.44318137,NA,NA,NA,NA,41,34,14,122,115,6889,73,0,1,4,31,108,70,247,475,278,md-arg
CBO_p05c,CBO,closed,-47.989469,-24.065634,771.00354,18,37,27,37,4.111111111,2.630663075,0.844723183,0.238522645,72.43,17,0,0.000748881,0.848183886,0.531047477,0.03955584,0.00402638,1.65447476,725.1969428,10258.56453,17.5083411,12.4404383,12.09391582,2,1,1,0,0,0,20,0,720,432,3.433987204,3.433987204,5.049856007,0.606135804,0.606135804,1.66875449,NA,NA,NA,NA,42,35,11,129,85,78,47,26,7,3,39,118,526,262,483,255,md-arg
CBO_p06o,CBO,open,-47.987841,-24.064103,807.0578,18,151,36,58,6.444444444,3.239680837,0.94951642,0.550233918,70.09,23,0,0.004598913,0.739370555,0.610026373,0.115136488,0.0155474,1.147526717,664.2765955,10851.50802,38938.70543,10.56344223,14.95491791,2,1,1,1,0,0,20,20,720,1008,5.017279837,5.017279837,11.16699262,1.357023979,1.357023979,7.321965689,NA,NA,NA,NA,37,31,5,171,29,9231,35,0,3,2,6,166,1095,183,471,346,md-arg
CBO_p06c,CBO,closed,-47.987782,-24.064063,805.889343,11,136,22,97,10.77777778,2.579433312,0.875743163,0.365811222,70.62,20,2,0.002542881,0.69674211,0.819920189,0.081344509,0.011077137,0.258806125,370.6167584,6269.900728,11751.76482,11.16122912,14.73641413,2,1,1,1,0,0,20,20,720,1020,5.017279837,5.017279837,5.442417711,1.342914065,1.342914065,1.675154984,NA,NA,NA,NA,36,3,7,219,32,8939,43,31,3,3,59,212,1168,219,443,338,md-arg
