base,Parcelas,grid,Freq
CB,1,Open,7
CB,1,Closed,2
CB,2,Open,6
CB,2,Closed,1
CB,4,Open,5
CB,4,Closed,1
CB,5,Open,3
CB,5,Closed,1
CB,6,Open,3
CB,6,Closed,1
CB,9,Open,5
CB,9,Closed,4
CB,11,Open,6
CB,11,Closed,3
CB,12,Open,6
CB,12,Closed,3
CB,14,Open,7
CB,14,Closed,3
CB,15,Open,5
CB,15,Closed,1
IC,1,Open,4
IC,1,Closed,0
IC,2,Open,4
IC,2,Closed,2
IC,3,Open,6
IC,3,Closed,4
IC,4,Open,3
IC,4,Closed,1
IC,5,Open,4
IC,5,Closed,2
IC,8,Open,3
IC,8,Closed,0
IC,9,Open,2
IC,9,Closed,0
IC,10,Open,2
IC,10,Closed,0
IC,11,Open,6
IC,11,Closed,0
IC,12,Open,1
IC,12,Closed,2
IC,14,Open,1
IC,14,Closed,1
IC,15,Open,5
IC,15,Closed,1
ITA,1,Open,3
ITA,1,Closed,2
ITA,2,Open,4
ITA,2,Closed,0
ITA,4,Open,4
ITA,4,Closed,0
ITA,6,Open,2
ITA,6,Closed,0
ITA,8,Open,1
ITA,8,Closed,2
ITA,10,Open,3
ITA,10,Closed,0
ITA,12,Open,6
ITA,12,Closed,1
ITA,14,Open,4
ITA,14,Closed,1
ITA,15,Open,3
ITA,15,Closed,1
VG,1,Open,5
VG,1,Closed,2
VG,4,Open,6
VG,4,Closed,0
VG,5,Open,4
VG,5,Closed,2
VG,6,Open,0
VG,6,Closed,2
VG,7,Open,2
VG,7,Closed,4
VG,8,Open,2
VG,8,Closed,1
VG,9,Open,0
VG,9,Closed,2
VG,10,Open,2
VG,10,Closed,2
VG,11,Open,6
VG,11,Closed,2
VG,12,Open,5
VG,12,Closed,3
VG,14,Open,4
VG,14,Closed,1
VG,15,Open,2
VG,15,Closed,1
