Site,Treatment,Plot,PlotID,Species,species_new,Abundances,Month,Time
CAR,closed,1,CAR_closed_1_T0,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,0,T0,NA
CAR,closed,1,CAR_closed_1_T0,Chionanthus filiformis,Chionanthus filiformis,1,T0,NA
CAR,closed,1,CAR_closed_1_T0,Eugenia cuprea,Eugenia cuprea,1,T0,NA
CAR,closed,1,CAR_closed_1_T0,Euterpe edulis,Euterpe edulis,2,T0,NA
CAR,closed,1,CAR_closed_1_T0,Guapira opposita,Guapira opposita,1,T0,NA
CAR,closed,1,CAR_closed_1_T0,Marlierea strigipes,Marlierea strigipes,1,T0,NA
CAR,closed,1,CAR_closed_1_T0,Mollinedia schottiana,Mollinedia schottiana,1,T0,NA
CAR,closed,1,CAR_closed_1_T0,Sloanea guianensis,Sloanea guianensis,1,T0,NA
CAR,closed,1,CAR_closed_1_T12,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,0,T12,NA
CAR,closed,1,CAR_closed_1_T12,Chionanthus filiformis,Chionanthus filiformis,1,T12,NA
CAR,closed,1,CAR_closed_1_T12,Eugenia cuprea,Eugenia cuprea,1,T12,NA
CAR,closed,1,CAR_closed_1_T12,Euterpe edulis,Euterpe edulis,1,T12,NA
CAR,closed,1,CAR_closed_1_T12,Guapira opposita,Guapira opposita,1,T12,NA
CAR,closed,1,CAR_closed_1_T12,Marlierea strigipes,Marlierea strigipes,1,T12,NA
CAR,closed,1,CAR_closed_1_T12,Mollinedia schottiana,Mollinedia schottiana,1,T12,NA
CAR,closed,1,CAR_closed_1_T12,Sloanea guianensis,Sloanea guianensis,1,T12,NA
CAR,closed,1,CAR_closed_1_T18,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,0,T18,NA
CAR,closed,1,CAR_closed_1_T18,Chionanthus filiformis,Chionanthus filiformis,1,T18,NA
CAR,closed,1,CAR_closed_1_T18,Eugenia cuprea,Eugenia cuprea,1,T18,NA
CAR,closed,1,CAR_closed_1_T18,Euterpe edulis,Euterpe edulis,10,T18,NA
CAR,closed,1,CAR_closed_1_T18,Guapira opposita,Guapira opposita,1,T18,NA
CAR,closed,1,CAR_closed_1_T18,Marlierea strigipes,Marlierea strigipes,1,T18,NA
CAR,closed,1,CAR_closed_1_T18,Mollinedia schottiana,Mollinedia schottiana,1,T18,NA
CAR,closed,1,CAR_closed_1_T18,Sloanea guianensis,Sloanea guianensis,1,T18,NA
CAR,closed,1,CAR_closed_1_T24,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T24,NA
CAR,closed,1,CAR_closed_1_T24,Chionanthus filiformis,Chionanthus filiformis,1,T24,NA
CAR,closed,1,CAR_closed_1_T24,Eugenia cuprea,Eugenia cuprea,1,T24,NA
