ID,Soil,Rep,CH4mg,CO2mg,N2O
1F,Defauned,1,-0.408,258.618,4.937
1F,Defauned,2,0.132,164.978,0.418
1F,Defauned,3,-0.603,217.516,4.489
1A,Fauned,1,-0.199,188.775,1.644
1A,Fauned,2,-0.350,205.421,-0.786
1A,Fauned,3,-0.126,203.523,1.422
2F,Defauned,1,-0.084,237.027,2.456
2F,Defauned,2,-0.694,173.464,2.624
2F,Defauned,3,-0.389,205.246,2.540
2A,Fauned,1,-0.312,151.986,1.451
2A,Fauned,2,0.109,175.483,9.380
2A,Fauned,3,-0.098,164.037,5.497
3F,Defauned,1,0.287,196.488,2.128
3F,Defauned,2,0.327,283.797,3.052
3F,Defauned,3,0.443,179.656,2.042
3A,Fauned,1,-0.211,241.782,5.629
3A,Fauned,2,-0.482,364.897,0.695
3A,Fauned,3,0.442,287.814,0.918
4F,Defauned,1,0.212,247.077,3.701
4F,Defauned,2,-0.437,116.918,3.088
4F,Defauned,3,-0.120,180.725,3.389
4A,Fauned,1,-0.138,94.303,-0.731
4A,Fauned,2,-0.043,126.882,-1.808
4A,Fauned,3,-0.091,111.866,-1.231
5F,Defauned,1,-0.307,251.955,3.818
5F,Defauned,2,-0.236,279.098,0.692
5F,Defauned,3,0.401,256.278,1.914
5A,Fauned,1,-0.009,439.170,2.425
5A,Fauned,2,-0.551,319.188,1.040
5A,Fauned,3,-0.620,309.897,1.019
8F,Defauned,1,-0.105,411.334,1.066
8F,Defauned,2,-0.392,370.174,1.505
8F,Defauned,3,-0.253,390.483,1.293
8A,Fauned,1,-0.391,271.085,-5.506
8A,Fauned,2,-0.422,369.464,2.671
8A,Fauned,3,-0.407,321.446,-1.332
9F,Defauned,1,0.355,420.523,4.409
9F,Defauned,2,0.057,274.463,2.726
9F,Defauned,3,-0.724,424.119,-3.508
9A,Fauned,1,-0.588,366.146,-6.421
9A,Fauned,2,-0.408,447.730,-3.771
9A,Fauned,3,-0.214,343.955,1.527
10F,Defauned,1,0.103,269.479,8.587
10F,Defauned,2,-0.264,606.894,2.869
10F,Defauned,3,-0.081,438.560,5.722
10A,Fauned,1,-0.056,263.927,9.496
10A,Fauned,2,0.000,101.849,-7.321
10A,Fauned,3,-0.028,183.315,1.132
11F,Defauned,1,-0.022,266.699,4.394
11F,Defauned,2,-0.148,296.893,6.500
11F,Defauned,3,0.108,223.976,2.057
11A,Fauned,1,0.484,350.815,3.963
11A,Fauned,2,1.056,298.764,6.264
11A,Fauned,3,-0.087,402.867,1.662
12F,Defauned,1,-0.148,310.976,7.132
12F,Defauned,2,-0.183,129.472,-0.432
12F,Defauned,3,-0.106,220.424,-0.402
12A,Fauned,1,-0.335,399.670,0.457
12A,Fauned,2,0.151,226.206,4.632
12A,Fauned,3,-0.464,314.829,5.681
14F,Defauned,1,0.274,294.083,1.985
14F,Defauned,2,-0.516,183.897,-3.944
14F,Defauned,3,-0.909,78.997,-0.922
14A,Fauned,1,-0.281,270.075,10.104
14A,Fauned,2,-0.185,535.285,5.543
14A,Fauned,3,-0.382,403.711,10.624
15F,Defauned,1,-0.251,363.905,2.017
15F,Defauned,2,-0.298,422.973,-2.878
15F,Defauned,3,0.484,367.950,-3.053
15A,Fauned,1,0.308,409.536,-4.168
15A,Fauned,2,0.146,275.554,10.234
15A,Fauned,3,-0.361,366.599,-5.338
