local,plot,treatment,ID_plant,Species,family,life_form,av_dado_binario,dado_binario,av_leaf_damage,leaf_damage,av_ME,ME,av_MI,MI,av_PAT,PAT,av_MIN,MIN,av_GAL,GAL
CAR,1,A,C11,Indeterminate sp.,Indeterminate,indeterminate,1,1,2,2,0,0,2,2,0,0,0,0,0,0
CAR,1,A,C23,Euterpe edulis,Arecaceae,palm,1,1,1,1,0,0,0,0,1,1,0,0,0,0
CAR,1,A,C24,Euterpe edulis,Arecaceae,palm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,C25,Allophylus sp.,Sapindaceae,liana,1,1,1.666666667,2,1.666666667,2,0,0,0.333333333,0,0,0,0,0
CAR,1,A,C4,Eugenia cuprea,Myrtaceae,tree,0.666666667,1,1.666666667,2,0.333333333,0,0.333333333,0,1.333333333,1,0,0,0,0
CAR,1,A,C5,Goeppertia sp.,Marantaceae,herb,1,1,2,2,0.666666667,1,1.333333333,1,0,0,0,0,0,0
CAR,1,A,C6,Goeppertia sp.,Marantaceae,herb,0.666666667,1,1.666666667,2,0.333333333,0,0.666666667,1,1,1,0,0,0,0
CAR,1,A,C9,Gomidesia sp.,Myrtaceae,tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,D11,Philodendron sp.,Araceae,herb,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,0,0
CAR,1,A,D14,Indeterminate sp.,Indeterminate,indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,D3,Goeppertia sp.,Marantaceae,herb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,D4,Goeppertia sp.,Marantaceae,herb,1,1,1.333333333,1,0.666666667,1,0.666666667,1,0.333333333,0,0,0,0,0
CAR,1,A,D8,Indeterminate sp.,Indeterminate,indeterminate,1,1,4,4,2,2,0,0,0.666666667,1,2.333333333,2,0,0
CAR,1,A,H11,Goeppertia sp.,Marantaceae,herb,0.666666667,1,3.333333333,3,1,1,0,0,3.333333333,3,0,0,0,0
CAR,1,A,H12,Goeppertia sp.,Marantaceae,herb,1,1,1.333333333,1,0.666666667,1,0.666666667,1,0,0,0,0,0,0
CAR,1,A,H13,Guarea macrophylla,Meliaceae,tree,1,1,2,2,0.666666667,1,0,0,1.333333333,1,0.333333333,0,0,0
CAR,1,A,H17,Goeppertia sp.,Marantaceae,herb,0.666666667,1,1.333333333,1,1,1,0,0,1,1,0,0,0,0
CAR,1,A,H19,Indeterminate sp.,Indeterminate,indeterminate,0.666666667,1,4,4,2.333333333,2,0,0,2.333333333,2,0,0,0,0
CAR,1,A,H23,Indeterminate sp.,Indeterminate,indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,H25,Euterpe edulis,Arecaceae,palm,1,1,1,1,1,1,0,0,0,0,0,0,0,0
CAR,1,F,C1,Araceae sp.,Araceae,herb,0.666666667,1,0.666666667,1,0.666666667,1,0,0,0.666666667,1,0,0,0,0
CAR,1,F,C10,Philodendron sp.,Araceae,herb,0.666666667,1,1.666666667,2,1.666666667,2,0,0,0,0,0,0,0,0
CAR,1,F,C13,Indeterminate sp.,Indeterminate,indeterminate,1,1,4,4,0,0,3,3,2,2,0,0,0,0
CAR,1,F,C16,Indeterminate sp.,Indeterminate,indeterminate,0.666666667,1,1.333333333,1,1,1,0,0,0.666666667,1,0,0,0,0
CAR,1,F,C18,Indeterminate sp.,Indeterminate,indeterminate,1,1,4,4,2,2,3,3,1,1,0,0,0,0
CAR,1,F,C25,Allophylus sp.,Sapindaceae,liana,0.666666667,1,1.666666667,2,1.666666667,2,0,0,0.666666667,1,0,0,0,0
CAR,1,F,C3,Guarea macrophylla,Meliaceae,tree,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,1,F,D12,Casearia cf.,Salicaceae,tree,1,1,4.333333333,4,1.666666667,2,0,0,4,4,0,0,0,0
