base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
IC,1F,71,close,5/22/2017,May-17,9:15,9,bird,bird,bird,,5/21/2017 13:11,5/22/2017 15:27,1.094444444,26.26666667,1,1,1,1,60
IC,1F,71,close,5/22/2017,May-17,15:11,15,bird,bird,bird,,5/21/2017 13:11,5/22/2017 15:27,1.094444444,26.26666667,2,1,1,1,60
IC,1F,71,close,5/22/2017,May-17,15:12,15,bird,bird,bird,,5/21/2017 13:11,5/22/2017 15:27,1.094444444,26.26666667,2,1,1,0,60
IC,1F,2,close,1/8/2017,Aug-17,11:36,11,Formicarius colma,Bird,Bird,Insectovore,1/8/2017 11:36,9/16/2017 11:20,45.98888889,1103.733333,1,1,1,1,40
IC,1F,2,close,8/13/2017,Aug-17,7:16,7,Formicarius colma,Bird,Bird,Insectovore,1/8/2017 11:36,9/16/2017 11:20,45.98888889,1103.733333,2,1,1,1,40
IC,1F,2,close,8/21/2017,Aug-17,7:04,7,Formicarius colma,Bird,Bird,Insectovore,1/8/2017 11:36,9/16/2017 11:20,45.98888889,1103.733333,3,1,1,1,40
IC,1F,2,close,8/28/2017,Aug-17,6:07,6,Turdus sp.,Bird,Bird,Omnivore,1/8/2017 11:36,9/16/2017 11:20,45.98888889,1103.733333,4,1,1,1,50
IC,1F,2,close,6/9/2017,Aug-17,7:52,7,Turdus sp.,Bird,Bird,Omnivore,1/8/2017 11:36,9/16/2017 11:20,45.98888889,1103.733333,5,1,1,1,50
IC,1A,38,open,11/8/2017,Aug-17,7:25,7,Formicarius colma,Bird,Bird,Insectovore,1/8/2017,9/16/2017 11:24,46.01805556,1104.433333,1,1,1,1,40
IC,1A,38,open,8/16/2017,Aug-17,7:14,7,Formicarius colma,Bird,Bird,Insectovore,1/8/2017,9/16/2017 11:24,46.01805556,1104.433333,2,2,2,1,80
IC,1A,38,open,8/20/2017,Aug-17,11:09,11,Tayassu pecari,White Lipped Peccary,Ungulate,Herbivore,1/8/2017,9/16/2017 11:24,46.01805556,1104.433333,3,1,1,1,30000
IC,1A,38,open,3/9/2017,Aug-17,3:00,3,Rat,Rat,Small Rodent,Granivore,1/8/2017,9/16/2017 11:24,46.01805556,1104.433333,4,1,1,1,60
IC,1A,38,open,7/9/2017,Aug-17,19:39,19,Tayassu pecari,White Lipped Peccary,Ungulate,Herbivore,1/8/2017,9/16/2017 11:24,46.01805556,1104.433333,5,1,1,1,30000
IC,1A,55,open,3/23/2018,Apr-18,0:18,0,Metachirus nudicaudatus,Brown Four-eyed Opossum,Marsupial,Onivore,3/18/2018 10:58,4/25/2018 12:47,38.07569444,913.8166667,1,1,1,,300
IC,1A,55,open,4/16/2018,Apr-18,22:06,22,Mazama spp,Veado,Ungulate,Herbivore,3/18/2018 10:58,4/25/2018 12:47,38.07569444,913.8166667,2,1,1,,25000
IC,1A,55,open,4/19/2018,Apr-18,19:20,19,Tayassu pecari,Queixada,Ungulate,Herbivore,3/18/2018 10:58,4/25/2018 12:47,38.07569444,913.8166667,3,1,1,,30000
IC,1A,55,open,4/19/2018,Apr-18,19:20,19,Tayassu pecari,Queixada,Ungulate,Herbivore,3/18/2018 10:58,4/25/2018 12:47,38.07569444,913.8166667,3,1,1,,30000
IC,2A,81,open,4/8/2017,Aug-17,9:23,9,Turdus albicollis,Bird,Bird,Omnivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,1,1,1,1,50
IC,2A,81,open,5/8/2017,Aug-17,6:39,6,Turdus albicollis,Bird,Bird,Omnivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,2,1,1,1,50
IC,2A,81,open,8/17/2017,Aug-17,10:02,10,Turdus albicollis,Bird,Bird,Omnivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,3,1,1,1,50
IC,2A,81,open,8/17/2017,Aug-17,20:58,20,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,4,1,1,1,60
IC,2A,81,open,8/17/2017,Aug-17,20:59,20,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,4,1,1,0,60
IC,2A,81,open,8/18/2017,Aug-17,2:59,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,5,1,1,1,60
IC,2A,81,open,8/18/2017,Aug-17,2:59,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,5,1,1,0,60
IC,2A,81,open,8/18/2017,Aug-17,3:00,3,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,5,1,1,0,60
IC,2A,81,open,8/18/2017,Aug-17,3:00,3,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,5,1,1,0,60
IC,2A,81,open,8/19/2017,Aug-17,10:31,10,Formicarius colma,Bird,Bird,Insectovore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,6,1,1,1,40
IC,2A,81,open,8/20/2017,Aug-17,10:31,10,Formicarius colma,Bird,Bird,Insectovore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,7,1,1,1,40
IC,2A,81,open,8/21/2017,Aug-17,15:45,15,Bird,Bird,Bird,,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,8,1,1,1,
IC,2A,81,open,8/22/2017,Aug-17,9:48,9,Turdus albicollis,Bird,Bird,Omnivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,9,1,1,1,50
IC,2A,81,open,8/24/2017,Aug-17,2:37,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,10,1,1,1,60
IC,2A,81,open,8/24/2017,Aug-17,2:41,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,10,1,1,0,60
IC,2A,81,open,8/24/2017,Aug-17,2:41,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,10,1,1,0,60
IC,2A,81,open,8/24/2017,Aug-17,2:42,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,10,1,1,0,60
IC,2A,81,open,8/26/2017,Aug-17,2:53,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,11,1,1,1,60
IC,2A,81,open,8/27/2017,Aug-17,2:01,2,Rat,Rat,Small Rodent,Granivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,12,1,1,1,60
IC,2A,81,open,2/9/2017,Aug-17,14:52,14,Turdus albicollis,Bird,Bird,Omnivore,1/8/2017 8:34,9/16/2017 22:07,46.56458333,1117.55,13,1,1,1,50
