base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
CB,11A,157,Open,6/4/2017,Apr-17,0:14,0,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,1,1,1,1,300
CB,11A,157,Open,11/4/2017,Apr-17,7:10,7,Tapirus terrestris,tapir,ungulate,herbivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,2,1,1,1,150000
CB,11A,157,Open,4/14/2017,Apr-17,11:09,11,Chamaeza sp.,bird,bird,insectivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,3,1,1,1,70
CB,11A,157,Open,4/14/2017,Apr-17,14:02,14,Chamaeza sp.,bird,bird,insectivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,4,1,1,1,70
CB,11A,157,Open,4/15/2017,Apr-17,21:50,21,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,onivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,5,1,1,1,300
CB,11A,157,Open,4/16/2017,Apr-17,16:28,16,Tapirus terrestris,tapir,ungulate,herbivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,6,2,2,1,300000
CB,11A,157,Open,4/16/2017,Apr-17,16:28,16,Tapirus terrestris,tapir,ungulate,herbivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,6,2,2,0,300000
CB,11A,157,Open,4/16/2017,Apr-17,19:06,19,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,7,1,1,1,300
CB,11A,157,Open,4/17/2017,Apr-17,13:31,13,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,8,1,1,1,2000
CB,11A,157,Open,4/17/2017,Apr-17,13:31,13,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,8,1,1,0,2000
CB,11A,157,Open,4/27/2017,Apr-17,2:00,2,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,9,1,1,1,300
CB,11A,157,Open,4/28/2017,Apr-17,19:58,19,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,10,1,1,1,300
CB,11A,157,Open,1/5/2017,Apr-17,21:59,21,Euryoryzomys russatus,Rat,Rodent,granivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,11,1,1,1,60
CB,11A,157,Open,3/5/2017,Apr-17,21:14,21,Akodon,Rat,Rodent,granivore,5/4/2017 9:02,12/5/2017 8:24,36.97361111,887.3666667,12,1,1,1,30
CB,12A,160,open,6/4/2017,Apr-17,2:08,2,Dasypus novemcinctus,nine-banded armadillo,mesopredator,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,1,1,1,1,3500
CB,12A,160,open,6/4/2017,Apr-17,16:58,16,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,2,1,1,1,40
CB,12A,160,open,6/4/2017,Apr-17,16:58,16,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,2,1,1,0,70
CB,12A,160,open,6/4/2017,Apr-17,16:59,16,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,2,1,1,0,70
CB,12A,160,open,7/4/2017,Apr-17,14:05,14,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,3,1,1,1,70
CB,12A,160,open,7/4/2017,Apr-17,14:05,14,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,3,1,1,0,70
CB,12A,160,open,7/4/2017,Apr-17,14:06,14,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,3,1,1,0,70
CB,12A,160,open,7/4/2017,Apr-17,14:06,14,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,3,1,1,0,70
CB,12A,160,open,8/4/2017,Apr-17,6:31,8,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,4,1,1,1,70
CB,12A,160,open,8/4/2017,Apr-17,17:08,17,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,5,1,1,1,40
CB,12A,160,open,10/4/2017,Apr-17,6:25,6,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,6,1,1,1,40
CB,12A,160,open,11/4/2017,Apr-17,17:20,17,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,7,1,1,1,40
CB,12A,160,open,12/4/2017,Apr-17,19:16,19,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,8,1,1,1,300
CB,12A,160,open,4/13/2017,Apr-17,6:36,6,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,1,40
CB,12A,160,open,4/13/2017,Apr-17,6:36,6,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,16:45,16,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,16:45,16,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,17:31,17,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
