base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
ITA,10A,24,Open,3/21/2017,Mar-17,6:44,6,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 15:15,4/19/2017 9:55,38.77777778,930.6666667,1,1,1,1,30000
ITA,10A,24,Open,3/25/2017,Mar-17,6:38,6,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 15:15,4/19/2017 9:55,38.77777778,930.6666667,2,2,1,1,30000
ITA,10A,24,Open,3/25/2017,Mar-17,6:50,6,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 15:15,4/19/2017 9:55,38.77777778,930.6666667,2,2,1,0,30000
ITA,10A,24,Open,3/25/2017,Mar-17,6:50,6,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 15:15,4/19/2017 9:55,38.77777778,930.6666667,2,2,1,0,30000
ITA,10A,24,Open,3/29/2017,Mar-17,11:39,11,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 15:15,4/19/2017 9:55,38.77777778,930.6666667,3,1,1,1,30000
ITA,12A,129,open,11/3/2017,Mar-17,15:30,15,bird,bird,bird,,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,1,1,1,1,40
ITA,12A,129,open,11/3/2017,Mar-17,15:56,15,Puma concolor,puma,top predator,carnivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,2,1,1,1,50000
ITA,12A,129,open,11/3/2017,Mar-17,15:56,15,Puma concolor,puma,top predator,carnivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,2,1,1,0,50000
ITA,12A,129,open,3/13/2017,Mar-17,15:20,15,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,3,9,5,1,150000
ITA,12A,129,open,3/13/2017,Mar-17,15:21,15,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,3,9,6,0,180000
ITA,12A,129,open,3/13/2017,Mar-17,15:22,15,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,3,9,4,0,120000
ITA,12A,129,open,3/13/2017,Mar-17,15:22,15,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,3,9,6,0,180000
ITA,12A,129,open,3/13/2017,Mar-17,15:58,15,Tayassu pecari,White-Lipped peccary,ungulate,herbivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,4,1,1,1,30000
ITA,12A,129,open,3/14/2017,Mar-17,7:00,7,Pecari tajacu,collared peccary,ungulate,herbivore,11/3/2017 14:13,5/5/2017 11:24,54.88263889,1317.183333,5,1,1,1,20000
