base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
VG,10A,49,Open,3/14/2017,Mar-17,7:18,7,Sciurus ingrami,squirrel,small rodent,granivore,10/3/2017 11:27,3/19/2017 21:00,9.397916667,225.55,1,1,1,1,200
VG,10F,1,close,3/24/2017,Mar-17,17:53,17,bird,bird,bird,,9/3/2017 12:41,4/18/2017 11:21,39.94444444,958.6666667,1,1,3,1,120
VG,10F,1,close,3/24/2017,Mar-17,17:53,17,bird,bird,bird,,9/3/2017 12:41,4/18/2017 11:21,39.94444444,958.6666667,1,1,3,0,120
VG,10F,1,close,3/24/2017,Mar-17,17:53,17,bird,bird,bird,,9/3/2017 12:41,4/18/2017 11:21,39.94444444,958.6666667,1,1,3,0,120
VG,10F,1,close,4/4/2017,Mar-17,9:18,9,bird,bird,bird,,9/3/2017 12:41,4/18/2017 11:21,39.94444444,958.6666667,2,1,1,1,40
VG,10F,1,close,5/4/2017,Mar-17,17:07,17,bird,bird,bird,,9/3/2017 12:41,4/18/2017 11:21,39.94444444,958.6666667,3,1,1,1,40
VG,11A,107,open,3/19/2017,Mar-17,6:20,6,bird,bird,bird,,10/3/2017 15:01,4/15/2017 13:31,35.9375,862.5,1,1,1,1,40
VG,11A,107,Open,2/4/2017,Mar-17,22:26,22,Cuniculus paca,spotted paca,large rodent,herbivore,10/3/2017 15:01,4/15/2017 13:31,35.9375,862.5,2,1,1,1,9500
VG,11F,35,close,3/22/2017,Mar-17,6:22,6,bird,bird,bird,,9/3/2017 10:30,4/18/2017 10:56,40.01805556,960.4333333,1,1,1,1,40
VG,11F,35,Closed,3/22/2017,Mar-17,23:54,23,Rat,Rat,small rodent,granivore,9/3/2017 10:30,4/18/2017 10:56,40.01805556,960.4333333,2,1,1,1,60
VG,12A,53,open,3/19/2017,Mar-17,7:17,7,Leopardus pardalis,Ocelot,Feline,Carnivore,8/3/2017 15:31,4/18/2017 10:40,40.79791667,979.15,1,1,1,1,9000
VG,12A,53,open,4/14/2017,Mar-17,8:57,8,Odontophorus capoeira,bird,bird,granivore,8/3/2017 15:31,4/18/2017 10:40,40.79791667,979.15,2,1,1,1,400
VG,1A,62,open,12/3/2017,Mar-17,1:33,1,Tapirus terrestris,tapir,ungulate,herbivore,12/3/2017 11:47,4/18/2017 13:45,37.08194444,889.9666667,1,1,1,1,150000
VG,1A,62,open,12/3/2017,Mar-17,1:34,1,Tapirus terrestris,tapir,ungulate,herbivore,12/3/2017 11:47,4/18/2017 13:45,37.08194444,889.9666667,1,1,1,0,150000
VG,1A,62,open,12/3/2017,Mar-17,1:34,1,Tapirus terrestris,tapir,ungulate,herbivore,12/3/2017 11:47,4/18/2017 13:45,37.08194444,889.9666667,1,1,1,0,150000
VG,1A,62,open,12/3/2017,Mar-17,1:34,1,Tapirus terrestris,tapir,ungulate,herbivore,12/3/2017 11:47,4/18/2017 13:45,37.08194444,889.9666667,1,1,1,0,150000
