base,Parcelas,grid,species,type
IC,1A,open,Tayassu pecari,Ungulate
IC,1A,open,Rat,SmallRodent
IC,1A,open,Tayassu pecari,Ungulate
IC,1A,open,Metachirus nudicaudatus,Marsupial
IC,1A,open,Mazama spp,Ungulate
IC,1A,open,Tayassu pecari,Ungulate
IC,1A,open,Tayassu pecari,Ungulate
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2A,open,Rat,SmallRodent
IC,2F,close,Didelphis albiventris,Marsupial
IC,2A,open,Didelphis spp,Marsupial
IC,2A,open,Tayassu pecari,Ungulate
IC,2A,open,Tayassu pecari,Ungulate
IC,2A,open,Tayassu pecari,Ungulate
IC,2A,open,Tayassu pecari,Ungulate
IC,2A,open,Tayassu pecari,Ungulate
IC,2A,open,Tayassu pecari,Ungulate
IC,2A,open,Mazama spp,Ungulate
IC,2F,close,Rat,Rodent
IC,3F,close,marsupial,marsupial
IC,3A,open,Rat,SmallRodent
IC,3A,open,Didelphis albiventris,Marsupial
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Mazama americana,Ungulate
IC,3A,open,Mazama americana,Ungulate
IC,3A,open,Mazama americana,Ungulate
IC,3A,open,Rat,SmallRodent
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Mazama americana,Ungulate
IC,3A,open,Mazama americana,Ungulate
IC,3A,open,Mazama americana,Ungulate
IC,3A,open,Rat,SmallRodent
IC,3A,open,Mazama americana,Ungulate
IC,3A,open,Didelphis albiventris,Marsupial
IC,3A,open,Didelphis albiventris,Marsupial
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Rat,SmallRodent
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Rat,SmallRodent
IC,3A,open,Didelphis spp,Marsupial
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Didelphis aurita,Marsupial
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Didelphis aurita,Marsupial
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Didelphis aurita,Marsupial
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3A,open,Tayassu pecari,Ungulate
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Rat,Rodent
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Didelphis aurita,Marsupial
IC,3F,close,Rat?,Rodent
IC,3F,close,Rat?,Rodent
IC,3F,close,Rat?,Rodent
IC,4A,open,Tayassu pecari,ungulate
IC,4A,open,Mazama spp,ungulate
IC,4A,open,Rat,SmallRodent
IC,4F,close,Rat,SmallRodent
iC,4A,open,Tayassu pecari,Ungulate
iC,4A,open,Rat,Rodent
IC,5F,close,Rat,smallrodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Leopardus pardalis,Feline
IC,5A,open,Leopardus pardalis,Feline
IC,5A,open,Leopardus pardalis,Feline
IC,5A,open,Leopardus pardalis,Feline
IC,5A,open,Rat,SmallRodent
IC,5A,open,Rat,SmallRodent
IC,5A,open,Mazama americana,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5A,open,Tayassu pecari,Ungulate
IC,5F,close,Metachirus nudicaudatus,Marsupial
IC,5F,close,Metachirus nudicaudatus,Marsupial
IC,6A,open,Tayassu pecari,ungulate
IC,6A,open,Tayassu pecari,ungulate
IC,6A,open,Tayassu pecari,ungulate
IC,6A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Tayassu pecari,ungulate
IC,8A,open,Rat,SmallRodent
IC,8A,open,Rat,SmallRodent
IC,8A,open,Rat,SmallRodent
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tamandua tetradactyla,Xenartro
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,8A,open,Tayassu pecari,Ungulate
IC,9A,open,Rat,SmallRodent
IC,9A,open,Rat,SmallRodent
IC,9A,open,Tayassu pecari,Ungulate
IC,9A,open,Tayassu pecari,Ungulate
IC,9A,open,Tayassu pecari,Ungulate
IC,9A,open,Tayassu pecari,Ungulate
IC,9A,open,Tayassu pecari,Ungulate
IC,9A,open,Tayassu pecari,Ungulate
IC,9A,open,Tayassu pecari,Ungulate
IC,10A,open,Didelphis aurita,Marsupial
IC,10A,open,Didelphis aurita,Marsupial
IC,10A,open,Tayassu pecari,Ungulate
IC,10A,open,Tayassu pecari,Ungulate
IC,10A,open,Tayassu pecari,Ungulate
IC,10A,open,Didelphis aurita,Marsupial
IC,10A,open,Tayassu pecari,Ungulate
IC,10A,open,Tayassu pecari,Ungulate
IC,10A,open,Tayassu pecari,Ungulate
IC,11A,open,Rat,SmallRodent
IC,11A,open,Metachirus nudicaudatus,Marsupial
IC,11A,open,Leopardus tigrinus,Feline
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Rat,SmallRodent
IC,11A,open,Rat,SmallRodent
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Metachirus nudicaudatus,Marsupial
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Cuniculus paca,LargeRodent
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Tayassu pecari,Ungulate
IC,11A,open,Dasypus spp,Xenartro
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12F,close,NA,NA
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12A,open,Tayassu pecari,Ungulate
IC,12F,close,Metachirus nudicaudatus,Marsupial
IC,14A,open,Tayassu pecari,ungulate
IC,14A,open,Tayassu pecari,ungulate
IC,14A,open,Tayassu pecari,ungulate
IC,14A,open,Tayassu pecari,ungulate
IC,14A,open,Tayassu pecari,ungulate
IC,14A,open,Tayassu pecari,ungulate
