local,plot,treatment,ID_plant,av_dado_binario,dado_binario,av_leaf_damage,leaf_damage,av_ME,ME,av_MI,MI,av_PAT,PAT,av_MIN,MIN,av_GAL,GAL
CAR,1,A,C11,1,1,2,2,0,0,2,2,0,0,0,0,0,0
CAR,1,A,C23,1,1,1,1,0,0,0,0,1,1,0,0,0,0
CAR,1,A,C24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,C25,1,1,1.666666667,2,1.666666667,2,0,0,0.333333333,0,0,0,0,0
CAR,1,A,C4,0.666666667,1,1.666666667,2,0.333333333,0,0.333333333,0,1.333333333,1,0,0,0,0
CAR,1,A,C5,1,1,2,2,0.666666667,1,1.333333333,1,0,0,0,0,0,0
CAR,1,A,C6,0.666666667,1,1.666666667,2,0.333333333,0,0.666666667,1,1,1,0,0,0,0
CAR,1,A,C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,D11,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,0,0
CAR,1,A,D14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,D4,1,1,1.333333333,1,0.666666667,1,0.666666667,1,0.333333333,0,0,0,0,0
CAR,1,A,D8,1,1,4,4,2,2,0,0,0.666666667,1,2.333333333,2,0,0
CAR,1,A,H11,0.666666667,1,3.333333333,3,1,1,0,0,3.333333333,3,0,0,0,0
CAR,1,A,H12,1,1,1.333333333,1,0.666666667,1,0.666666667,1,0,0,0,0,0,0
CAR,1,A,H13,1,1,2,2,0.666666667,1,0,0,1.333333333,1,0.333333333,0,0,0
CAR,1,A,H17,0.666666667,1,1.333333333,1,1,1,0,0,1,1,0,0,0,0
CAR,1,A,H19,0.666666667,1,4,4,2.333333333,2,0,0,2.333333333,2,0,0,0,0
CAR,1,A,H23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,1,A,H25,1,1,1,1,1,1,0,0,0,0,0,0,0,0
CAR,1,F,C1,0.666666667,1,0.666666667,1,0.666666667,1,0,0,0.666666667,1,0,0,0,0
CAR,1,F,C10,0.666666667,1,1.666666667,2,1.666666667,2,0,0,0,0,0,0,0,0
CAR,1,F,C13,1,1,4,4,0,0,3,3,2,2,0,0,0,0
CAR,1,F,C16,0.666666667,1,1.333333333,1,1,1,0,0,0.666666667,1,0,0,0,0
CAR,1,F,C18,1,1,4,4,2,2,3,3,1,1,0,0,0,0
CAR,1,F,C25,0.666666667,1,1.666666667,2,1.666666667,2,0,0,0.666666667,1,0,0,0,0
CAR,1,F,C3,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,1,F,D12,1,1,4.333333333,4,1.666666667,2,0,0,4,4,0,0,0,0
CAR,1,F,D22,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,1,F,D24,0.666666667,1,1.666666667,2,1.666666667,2,0,0,0,0,0,0,0,0
CAR,1,F,H20,1,1,2,2,1.333333333,1,0,0,1.333333333,1,0,0,0,0
CAR,1,F,H26,0.5,1,1,1,0,0,0,0,1,1,0,0,0,0
CAR,1,F,H33,0.666666667,1,0.666666667,1,0.333333333,0,0.333333333,0,0,0,0,0,0,0
CAR,1,F,H34,0.666666667,1,1.666666667,2,0.666666667,1,0,0,1.333333333,1,0,0,0,0
CAR,1,F,H35,1,1,1,1,1,1,1,1,0,0,0,0,0,0
CAR,1,F,H36,1,1,2,2,1,1,1,1,0.333333333,0,0,0,0,0
CAR,1,F,H38,0.5,1,0.5,1,0,0,0,0,0.5,1,0,0,0,0
CAR,1,F,H39,1,1,1,1,1,1,0,0,0,0,0,0,0,0
CAR,1,F,H4,0.666666667,1,2,2,0,0,0,0,2,2,0,0,0,0
CAR,1,F,H5,1,1,2,2,1,1,0,0,1,1,0,0,0,0
CAR,1,F,H8,1,1,2.333333333,2,0.666666667,1,0.666666667,1,1,1,0,0,0,0
CAR,1,F,H9,1,1,1.333333333,1,1,1,0,0,0.333333333,0,0,0,0,0
CAR,2,A,C12,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,2,A,C13,1,1,3.666666667,4,2.333333333,2,0,0,2,2,0,0,0,0
CAR,2,A,C15,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,2,A,C18,0.666666667,1,2.666666667,3,1.333333333,1,0,0,0,0,1.666666667,2,0,0
CAR,2,A,C20,0.666666667,1,1.666666667,2,1.666666667,2,0,0,0,0,0,0,0,0
CAR,2,A,C32,1,1,3.666666667,4,1,1,1,1,2.666666667,3,0,0,0,0
CAR,2,A,C41,0.666666667,1,2,2,0.666666667,1,1.666666667,2,0,0,0,0,0,0
CAR,2,A,C48,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,2,A,C49,0.666666667,1,1.333333333,1,0.666666667,1,0,0,0.666666667,1,0,0,0,0
CAR,2,A,C53,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,2,A,C54,1,1,1.666666667,2,1.666666667,2,0,0,0,0,0,0,0,0
CAR,2,A,C56,0.333333333,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0
CAR,2,A,C60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2,A,C72,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,2,A,C79,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0.333333333,0,0,0,0,0
CAR,2,A,C80,0.333333333,0,1.666666667,2,0,0,0,0,1.666666667,2,0,0,0,0
CAR,2,A,D1,1,1,3,3,1,1,0,0,2.666666667,3,0,0,0,0
CAR,2,A,D20,0.5,1,1.5,2,1.5,2,0,0,0,0,0,0,0,0
CAR,2,A,D25,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,2,A,D27,0.666666667,1,0.666666667,1,0.666666667,1,0,0,0,0,0,0,0,0
CAR,2,A,D35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2,A,D36,1,1,3,3,0.333333333,0,0.333333333,0,2.666666667,3,0,0,0,0
CAR,2,A,D37,1,1,5,5,2,2,0,0,4.333333333,4,0,0,0,0
CAR,2,A,D38,0.666666667,1,3.166666667,3,0.833333333,1,0,0,3,3,0,0,0,0
CAR,2,A,D39,0.666666667,1,2,2,1.333333333,1,0,0,1.333333333,1,0,0,0,0
CAR,2,A,D40,0.666666667,1,2,2,1.666666667,2,0.333333333,0,0,0,0,0,0,0
CAR,2,A,D42,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,2,A,D43,1,1,4,4,3.5,4,0,0,2.5,3,0,0,0,0
CAR,2,A,D44,1,1,4.333333333,4,2.666666667,3,0,0,2.666666667,3,0,0,0,0
CAR,2,A,D47,0.666666667,1,1,1,1,1,0,0,0,0,0,0,0,0
CAR,2,A,D57,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0
CAR,2,A,D58,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,2,A,D59,1,1,2.666666667,3,0.666666667,1,0,0,2.333333333,2,0,0,0,0
CAR,2,A,D60,1,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,2,A,D62,0.666666667,1,1,1,1,1,0,0,0,0,0,0,0,0
CAR,2,A,D63,1,1,1.333333333,1,0.666666667,1,0,0,0.666666667,1,0,0,0,0
CAR,2,A,H10,1,1,1,1,0,0,0,0,1,1,0,0,0,0
CAR,2,A,H13,0.333333333,0,2,2,2,2,0,0,1.666666667,2,0,0,0,0
CAR,2,A,H16,0.666666667,1,3,3,3,3,0,0,0,0,0,0,0,0
CAR,2,A,H19,0.666666667,1,2.333333333,2,0.333333333,0,0,0,2,2,0,0,0,0
CAR,2,A,H20,1,1,2,2,2,2,0,0,0,0,0,0,0,0
CAR,2,A,H37,0.5,1,1.5,2,1.5,2,0,0,0.5,1,0,0,0,0
CAR,2,A,H38,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,2,A,H39,0.666666667,1,3,3,0,0,3,3,0,0,0,0,0,0
CAR,2,A,H5,0.333333333,0,1,1,0,0,1,1,0,0,0,0,0,0
CAR,2,A,H8,0.333333333,0,1.333333333,1,0,0,0,0,1.333333333,1,0,0,0,0
CAR,2,F,C1,1,1,1.5,2,0.5,1,1,1,0,0,0,0,0,0
CAR,2,F,C14,1,1,2,2,1,1,0,0,1,1,0,0,0,0
CAR,2,F,C20,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,2,F,C21,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,2,F,C22,1,1,2.666666667,3,2.666666667,3,0,0,0,0,0,0,0,0
CAR,2,F,C3,0.333333333,0,0.666666667,1,0.666666667,1,0,0,0,0,0,0,0,0
CAR,2,F,C5,1,1,3,3,0.333333333,0,0.333333333,0,3,3,0,0,0,0
CAR,2,F,C6,0.666666667,1,1.666666667,2,0.333333333,0,0.333333333,0,1.333333333,1,0,0,0,0
CAR,2,F,C8,0.666666667,1,3.333333333,3,3.333333333,3,0.333333333,0,0,0,0,0,0,0
CAR,2,F,D11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2,F,D17,0.666666667,1,2,2,0.666666667,1,0.666666667,1,0,0,0,0,1,1
CAR,2,F,D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2,F,D21,1,1,2.666666667,3,0,0,0.666666667,1,2,2,0,0,0,0
CAR,2,F,D22,0.666666667,1,1,1,0.666666667,1,0.666666667,1,0,0,0,0,0,0
CAR,2,F,D26,1,1,4.666666667,5,1.666666667,2,0,0,3.666666667,4,0,0,0,0
CAR,2,F,D28,0.333333333,0,0.666666667,1,0.666666667,1,0,0,0,0,0,0,0,0
CAR,2,F,D29,1,1,2,2,1,1,0,0,1.333333333,1,0,0,0,0
CAR,2,F,D31,1,1,2,2,1.666666667,2,0,0,0.666666667,1,0,0,0,0
CAR,2,F,D36,1,1,1.666666667,2,0.333333333,0,0.666666667,1,1,1,0,0,0,0
CAR,2,F,D37,0.666666667,1,1,1,0.666666667,1,0,0,0.333333333,0,0,0,0,0
CAR,2,F,D38,1,1,1.5,2,1.5,2,0,0,0,0,0,0,0,0
CAR,2,F,D41,1,1,2.666666667,3,2.666666667,3,0,0,0,0,0,0,0,0
CAR,2,F,D5,0.333333333,0,2,2,2,2,0,0,0,0,0,0,0,0
CAR,2,F,D6,1,1,2,2,1.5,2,0,0,0.5,1,0,0,0,0
CAR,2,F,D67,1,1,1.666666667,2,1,1,0,0,1,1,0,0,0,0
CAR,2,F,D8,0.666666667,1,1,1,0.666666667,1,0.333333333,0,0.333333333,0,0,0,0,0
CAR,2,F,D9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2,F,H1,0.666666667,1,0.666666667,1,0.666666667,1,0,0,0,0,0,0,0,0
CAR,2,F,H15,0.333333333,0,1.666666667,2,1.333333333,1,0,0,0.666666667,1,0,0,0,0
CAR,2,F,H17,0.666666667,1,2,2,2,2,0,0,0,0,0,0,0,0
CAR,2,F,H18,0.666666667,1,1.333333333,1,0.333333333,0,0,0,1,1,0,0,0,0
CAR,2,F,H19,0.333333333,0,0.666666667,1,0.333333333,0,0,0,0.333333333,0,0,0,0,0
CAR,2,F,H20,0.333333333,0,0.666666667,1,0,0,0.666666667,1,0,0,0,0,0,0
CAR,2,F,H26,0.666666667,1,2,2,2,2,0,0,0,0,0,0,0,0
CAR,2,F,H3,0.666666667,1,1.333333333,1,0.666666667,1,0.666666667,1,0,0,0,0,0,0
CAR,2,F,H33,0.666666667,1,1,1,1,1,0,0,0,0,0,0,0,0
CAR,2,F,H34,0.666666667,1,0.666666667,1,0.666666667,1,0,0,0,0,0,0,0,0
CAR,2,F,H35,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,2,F,H5,1,1,3.333333333,3,2.666666667,3,0,0,0,0,0.666666667,1,0,0
CAR,2,F,H50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2,F,H52,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0
CAR,2,F,H54,0.666666667,1,1.666666667,2,1.333333333,1,0,0,0.666666667,1,0,0,0,0
CAR,2,F,H55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2,F,H56,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0
CAR,3,A,C9,1,1,3.333333333,3,2.333333333,2,0,0,1.333333333,1,0,0,0,0
CAR,3,A,D18,0.666666667,1,2.666666667,3,2,2,0,0,1.333333333,1,0,0,0,0
CAR,3,A,D19,1,1,3.5,4,1,1,0.5,1,2.5,3,0,0,0,0
CAR,3,A,D3,1,1,5,5,0,0,3,3,4,4,0,0,0,0
CAR,3,A,D4,1,1,3,3,3,3,0,0,0,0,0,0,0,0
CAR,3,A,D7,0.333333333,0,1.333333333,1,0.666666667,1,0,0,1,1,0,0,0,0
CAR,3,A,H1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
CAR,3,A,H12,0.666666667,1,0.666666667,1,0,0,0,0,0.666666667,1,0,0,0,0
CAR,3,A,H18,1,1,4.333333333,4,1.666666667,2,0.333333333,0,3.666666667,4,0,0,0,0
CAR,3,A,H21,0.666666667,1,2,2,2,2,0,0,0,0,0,0,0,0
CAR,3,A,H6,0.666666667,1,1.333333333,1,1.333333333,1,0,0,0,0,0,0,0,0
CAR,3,A,H7,1,1,3,3,0,0,0,0,3,3,0,0,0,0
CAR,3,F,C1,0.666666667,1,1,1,0.666666667,1,0.333333333,0,0,0,0,0,0,0
