"site","Plot","Treatment","richness","SimpsonEvenness"
"CBO",1,"closed",36,0.526942355889724
"CBO",2,"closed",20,0.392337164750958
"CBO",4,"closed",29,0.603188355570958
"CBO",5,"closed",27,0.238522645207882
"CBO",6,"closed",22,0.365811222270552
"CBO",9,"closed",27,0.459896983075791
"CBO",11,"closed",30,0.263374485596708
"CBO",12,"closed",12,0.167869204789684
"CBO",14,"closed",27,0.341166231505657
"CBO",15,"closed",25,0.415058823529412
"CBO",1,"open",36,0.196623093681917
"CBO",2,"open",20,0.211918604651163
"CBO",4,"open",22,0.656716417910448
"CBO",5,"open",20,0.627981651376147
"CBO",6,"open",36,0.550233918128655
"CBO",9,"open",23,0.51150895140665
"CBO",11,"open",35,0.311672987779182
"CBO",12,"open",22,0.117892991495659
"CBO",14,"open",24,0.30660741885626
"CBO",15,"open",24,0.319289951798294
"CAR",1,"closed",28,0.22122517348648
"CAR",2,"closed",40,0.150820094904064
"CAR",3,"closed",29,0.33248760235267
"CAR",4,"closed",36,0.263194131490662
"CAR",5,"closed",22,0.190750297737197
"CAR",8,"closed",35,0.198347954152526
"CAR",9,"closed",40,0.096828689982217
"CAR",10,"closed",29,0.0770042575774023
"CAR",11,"closed",32,0.388504464285714
"CAR",12,"closed",23,0.203522289488167
"CAR",14,"closed",34,0.477916081108211
"CAR",15,"closed",29,0.343396766347117
"CAR",1,"open",21,0.353271028037383
"CAR",2,"open",39,0.279018834866404
"CAR",3,"open",25,0.452093023255814
"CAR",4,"open",24,0.494949494949495
"CAR",5,"open",35,0.275092901829813
"CAR",8,"open",27,0.203278668180662
"CAR",9,"open",31,0.153648658665606
"CAR",10,"open",24,0.221005606166783
"CAR",11,"open",32,0.177225170204245
"CAR",12,"open",24,0.166147994467497
"CAR",14,"open",27,0.487853444842692
"CAR",15,"open",27,0.436718927516474
"VGM",1,"closed",18,0.313434179722672
"VGM",4,"closed",43,0.370912264489964
"VGM",5,"closed",42,0.206655362441713
"VGM",6,"closed",35,0.399539170506912
"VGM",7,"closed",27,0.426806049502461
"VGM",8,"closed",33,0.358941527955612
"VGM",9,"closed",39,0.285083490533082
"VGM",10,"closed",26,0.274077976817703
"VGM",11,"closed",34,0.365340444582863
"VGM",12,"closed",29,0.410075089305242
"VGM",14,"closed",22,0.390243902439024
"VGM",15,"closed",29,0.473375963664615
"VGM",1,"open",15,0.514893617021277
"VGM",4,"open",36,0.250890452610546
"VGM",5,"open",33,0.399612563996126
"VGM",6,"open",43,0.143895649330981
"VGM",7,"open",24,0.377994524298426
"VGM",8,"open",33,0.255937755937756
"VGM",9,"open",28,0.318023206928445
"VGM",10,"open",16,0.507929104477612
"VGM",11,"open",24,0.144867549668874
"VGM",12,"open",32,0.541344501718213
"VGM",14,"open",26,0.106603638447214
"VGM",15,"open",13,0.339366515837104
"ITA",1,"closed",30,0.331791600212653
"ITA",2,"closed",30,0.322929936305733
"ITA",4,"closed",27,0.134816312773846
"ITA",6,"closed",26,0.318286056134404
"ITA",8,"closed",26,0.313418975390806
"ITA",10,"closed",17,0.211559592703831
"ITA",12,"closed",18,0.380025324469769
"ITA",14,"closed",23,0.0700308946550312
"ITA",15,"closed",21,0.19845663479282
"ITA",1,"open",32,0.237432675044883
"ITA",2,"open",23,0.273272790591765
"ITA",4,"open",25,0.329896907216495
"ITA",6,"open",27,0.275070586281349
"ITA",8,"open",29,0.401188294741518
"ITA",10,"open",12,0.338566827697262
"ITA",12,"open",13,0.577777777777778
"ITA",14,"open",21,0.137142857142857
"ITA",15,"open",27,0.2152466367713
