PlotID,Site,Treatment,Plot,Month,Time,bamboo,herb,liana,palm,shrub,tree,tree.log10,palm.log10,liana.log10,shrub.log10,herb.log10,bamboo.log10,tree.sqrt,palm.sqrt,liana.sqrt,shrub.sqrt,herb.sqrt,bamboo.sqrt,tree.cube,palm.cube,liana.cube,shrub.cube,herb.cube,bamboo.cube,bamboo.abn,herb.abn,liana.abn,palm.abn,shrub.abn,tree.abn
CAR_closed_1_p0_0,CAR,closed,1,p0,0,0,2.2857142857142856,1,1,0,7,0.8450980400142568,0,0,0,0.3590219426416679,0,2.6457513110645907,1,1,0,1.5118578920369088,0,1.912931182772389,1,1,0,1.317267512016699,0,0,8,1,2,0,7
CAR_closed_1_p06_6,CAR,closed,1,p06,6,0,3.571428571428571,1,1,0,7,0.8450980400142568,0,0,0,0.5528419686577808,0,2.6457513110645907,1,1,0,1.889822365046136,0,1.912931182772389,1,1,0,1.5285535436643993,0,0,5,1,1,0,7
CAR_closed_1_p12_12,CAR,closed,1,p12,12,0,4,0,1,0,7,0.8450980400142568,0,0,0,0.6020599913279624,0,2.6457513110645907,1,0,0,2,0,1.912931182772389,1,0,0,1.5874010519681994,0,0,4,0,1,0,7
CAR_closed_1_p18_18,CAR,closed,1,p18,18,0,3.571428571428571,0,1,0,7,0.8450980400142568,0,0,0,0.5528419686577808,0,2.6457513110645907,1,0,0,1.889822365046136,0,1.912931182772389,1,0,0,1.5285535436643993,0,0,5,0,10,0,7
CAR_closed_1_p24_24,CAR,closed,1,p24,24,0,2.5789473684210527,0,1.1172413793103448,0,6.25,0.7958800173440752,0.048147012307656056,0,0,0.4114424790756847,0,2.5,1.0569963951264663,0,0,1.6059101370939324,0,1.8420157493201932,1.0376454930998749,0,0,1.3713474175732236,0,0,7,0,18,0,10
CAR_closed_1_p30_30,CAR,closed,1,p30,30,0,2,0,1.1245136186770428,0,6.25,0.7958800173440752,0.05096471942525332,0,0,0.3010299956639812,0,2.5,1.0604308646380691,0,0,1.4142135623730951,0,1.8420157493201932,1.0398920063766395,0,0,1.2599210498948732,0,0,6,0,17,0,10
CAR_closed_1_p36_36,CAR,closed,1,p36,36,0,1.4705882352941173,0,1.1529411764705884,0,7.117647058823531,0.8523364489381763,0.06180714997820217,0,0,0.16749108729376358,0,2.667891875399663,1.0737509843863187,0,0,1.2126781251816647,0,1.923588400904207,1.0485819637846965,0,0,1.1371830097629765,0,0,5,0,14,0,11
CAR_closed_1_p42_42,CAR,closed,1,p42,42,0,1.4705882352941173,0,1.1980198019801982,0,8.333333333333332,0.9208187539523751,0.07846399653380758,0,0,0.16749108729376358,0,2.8867513459481287,1.0945409092309881,0,0,1.2126781251816647,0,2.0274006651911334,1.062073726703897,0,0,1.1371830097629765,0,0,5,0,11,0,10
CAR_closed_1_p48_48,CAR,closed,1,p48,48,0,1.4705882352941173,0,1.1529411764705884,0,9.307692307692307,0.9688420180096132,0.06180714997820217,0,0,0.16749108729376358,0,3.05085107923876,1.0737509843863187,0,0,1.2126781251816647,0,2.103523360191288,1.0485819637846965,0,0,1.1371830097629765,0,0,5,0,14,0,11
CAR_closed_1_p54_54,CAR,closed,1,p54,54,0,1.6,2,1.1803278688524592,0,10.285714285714286,1.0122344564170116,0.0720026614205015,0.3010299956639812,0,0.2041199826559248,0,3.2071349029490928,1.0864289525102224,1.4142135623730951,0,1.2649110640673518,0,2.1747607460057843,1.056819667993607,1.2599210498948732,0,1.1696070952851465,0,0,4,2,12,0,12
CAR_closed_1_p60_60,CAR,closed,1,p60,60,0,1.6,2.272727272727273,1.1980198019801982,0,9.941176470588234,0.9974377832353996,0.07846399653380758,0.35654732351381263,0,0.2041199826559248,0,3.1529631254723283,1.0945409092309881,1.5075567228888183,0,1.2649110640673518,0,2.15020199800969,1.062073726703897,1.3147679471646476,0,1.1696070952851465,0,0,4,5,11,0,13
CAR_closed_1_p66_66,CAR,closed,1,p66,66,0,1.6,2.272727272727273,1.28,0,9.307692307692307,0.9688420180096132,0.10720996964786837,0.35654732351381263,0,0.2041199826559248,0,3.05085107923876,1.131370849898476,1.5075567228888183,0,1.2649110640673518,0,2.103523360191288,1.0857670466379625,1.3147679471646476,0,1.1696070952851465,0,0,4,5,8,0,11
CAR_closed_1_p72_72,CAR,closed,1,p72,72,0,1.6,1.7999999999999998,1.28,1,9.307692307692307,0.9688420180096132,0.10720996964786837,0.255272505103306,0,0.2041199826559248,0,3.05085107923876,1.131370849898476,1.3416407864998738,1,1.2649110640673518,0,2.103523360191288,1.0857670466379625,1.21644039911468,1,1.1696070952851465,0,0,4,3,8,1,11
CAR_closed_1_p78_78,CAR,closed,1,p78,78,0,1.6,1,1.28,1,9.307692307692307,0.9688420180096132,0.10720996964786837,0,0,0.2041199826559248,0,3.05085107923876,1.131370849898476,1,1,1.2649110640673518,0,2.103523360191288,1.0857670466379625,1,1,1.1696070952851465,0,0,4,1,8,1,11
CAR_closed_1_p84_84,CAR,closed,1,p84,84,0,1.6,1,1.3846153846153844,1,9.307692307692307,0.9688420180096132,0.1413291527964692,0,0,0.2041199826559248,0,3.05085107923876,1.176696810829104,1,1,1.2649110640673518,0,2.103523360191288,1.1145760779590614,1,1,1.1696070952851465,0,0,4,1,6,1,11
CAR_closed_1_p90_90,CAR,closed,1,p90,90,0,1.6,0,1.3846153846153844,0,9.307692307692307,0.9688420180096132,0.1413291527964692,0,0,0.2041199826559248,0,3.05085107923876,1.176696810829104,0,0,1.2649110640673518,0,2.103523360191288,1.1145760779590614,0,0,1.1696070952851465,0,0,4,0,6,0,11
CAR_closed_1_p96_96,CAR,closed,1,p96,96,0,1.6,0,1.3846153846153844,0,8.90909090909091,0.9498333905342699,0.1413291527964692,0,0,0.2041199826559248,0,2.984810028978546,1.176696810829104,0,0,1.2649110640673518,0,2.073056459277126,1.1145760779590614,0,0,1.1696070952851465,0,0,4,0,6,0,14
CAR_closed_2_p0_0,CAR,closed,2,p0,0,0,4.129032258064516,0,1,1.7999999999999998,9.782608695652174,0.9904546820937696,0,0,0.255272505103306,0.6158482758135957,0,3.1277162108561214,1,0,1.3416407864998738,2.032002032003048,0,2.138708328717561,1,0,1.21644039911468,1.6042895647628712,0,0,16,0,1,3,15
