PlotID,site,plot,time,treatment,richness,abundances,SimpsonEvenness,pilou_evenness,life_form
CAR_1_0_closed,CAR,1,0,closed,7,7,1,0.5138983423697507,trees
CBO_1_0_closed,CBO,1,0,closed,12,24,0.39999999999999997,0.16097184175273785,trees
ITA_1_0_closed,ITA,1,0,closed,2,2,1,1.4426950408889634,trees
VGM_1_0_closed,VGM,1,0,closed,1,2,1,0,trees
CAR_2_0_closed,CAR,2,0,closed,12,15,0.8152173913043478,0.3280676122678081,trees
CBO_2_0_closed,CBO,2,0,closed,7,12,0.4897959183673469,0.2517053105484493,trees
ITA_2_0_closed,ITA,2,0,closed,1,1,1,0,trees
CAR_3_0_closed,CAR,3,0,closed,7,14,0.4827586206896552,0.24808885493712104,trees
CAR_4_0_closed,CAR,4,0,closed,10,19,0.6333333333333334,0.2750531718720595,trees
CBO_4_0_closed,CBO,4,0,closed,8,12,0.6923076923076923,0.33292962482053,trees
ITA_4_0_closed,ITA,4,0,closed,4,10,0.8333333333333333,0.6011229337037347,trees
VGM_4_0_closed,VGM,4,0,closed,9,23,0.7081659973226239,0.32230023486318404,trees
CAR_5_0_closed,CAR,5,0,closed,4,4,1,0.7213475204444817,trees
CBO_5_0_closed,CBO,5,0,closed,3,4,0.8888888888888888,0.8091015347794109,trees
VGM_5_0_closed,VGM,5,0,closed,13,19,0.8414918414918416,0.32807347211121707,trees
CBO_6_0_closed,CBO,6,0,closed,5,5,0.9999999999999998,0.6213349345596118,trees
ITA_6_0_closed,ITA,6,0,closed,1,1,1,0,trees
VGM_6_0_closed,VGM,6,0,closed,9,11,0.8962962962962963,0.40792202378461967,trees
VGM_7_0_closed,VGM,7,0,closed,7,22,0.6648351648351649,0.3416576891579112,trees
CAR_8_0_closed,CAR,8,0,closed,10,33,0.3050420168067227,0.13247806464779865,trees
ITA_8_0_closed,ITA,8,0,closed,2,2,1,1.4426950408889634,trees
VGM_8_0_closed,VGM,8,0,closed,9,11,0.8962962962962963,0.40792202378461967,trees
CAR_9_0_closed,CAR,9,0,closed,7,15,0.3694581280788177,0.18986391959473548,trees
CBO_9_0_closed,CBO,9,0,closed,5,14,0.3769230769230769,0.23419547533400753,trees
VGM_9_0_closed,VGM,9,0,closed,8,12,0.8181818181818182,0.39346228387880827,trees
CAR_10_0_closed,CAR,10,0,closed,9,12,0.8888888888888888,0.40455076738970547,trees
ITA_10_0_closed,ITA,10,0,closed,1,1,1,0,trees
VGM_10_0_closed,VGM,10,0,closed,6,8,0.8888888888888888,0.49609833471221976,trees
CAR_11_0_closed,CAR,11,0,closed,5,7,0.7538461538461539,0.46839095066801517,trees
CBO_11_0_closed,CBO,11,0,closed,10,13,0.8894736842105262,0.38629351285078706,trees
VGM_11_0_closed,VGM,11,0,closed,4,5,0.8928571428571428,0.6440602861111444,trees
CAR_12_0_closed,CAR,12,0,closed,4,6,0.8999999999999999,0.6492127684000335,trees
CBO_12_0_closed,CBO,12,0,closed,1,1,1,0,trees
ITA_12_0_closed,ITA,12,0,closed,1,1,1,0,trees
VGM_12_0_closed,VGM,12,0,closed,9,10,0.9259259259259258,0.4214070493642765,trees
CAR_14_0_closed,CAR,14,0,closed,6,8,0.8888888888888888,0.49609833471221976,trees
CBO_14_0_closed,CBO,14,0,closed,9,12,0.8888888888888888,0.40455076738970547,trees
ITA_14_0_closed,ITA,14,0,closed,4,5,0.8928571428571428,0.6440602861111444,trees
VGM_14_0_closed,VGM,14,0,closed,4,5,0.8928571428571428,0.6440602861111444,trees
CAR_15_0_closed,CAR,15,0,closed,3,3,1,0.9102392266268373,trees
CBO_15_0_closed,CBO,15,0,closed,7,11,0.6914285714285714,0.3553239967242276,trees
ITA_15_0_closed,ITA,15,0,closed,4,15,0.44291338582677175,0.3194944726378119,trees
VGM_15_0_closed,VGM,15,0,closed,3,4,0.8888888888888888,0.8091015347794109,trees
CAR_1_6_closed,CAR,1,6,closed,7,7,1,0.5138983423697507,trees
CBO_1_6_closed,CBO,1,6,closed,14,27,0.41657142857142865,0.15784857111541398,trees
ITA_1_6_closed,ITA,1,6,closed,2,2,1,1.4426950408889634,trees
VGM_1_6_closed,VGM,1,6,closed,2,3,0.8999999999999999,1.298425536800067,trees
CAR_2_6_closed,CAR,2,6,closed,13,15,0.8241758241758241,0.3213224548774286,trees
CBO_2_6_closed,CBO,2,6,closed,7,12,0.4897959183673469,0.2517053105484493,trees
ITA_2_6_closed,ITA,2,6,closed,2,3,0.8999999999999999,1.298425536800067,trees
CAR_3_6_closed,CAR,3,6,closed,7,13,0.43896103896103894,0.22558135028698148,trees
CAR_4_6_closed,CAR,4,6,closed,10,19,0.6333333333333334,0.2750531718720595,trees
CBO_4_6_closed,CBO,4,6,closed,7,12,0.6857142857142858,0.35238743476782913,trees
ITA_4_6_closed,ITA,4,6,closed,5,15,0.7627118644067796,0.473899526359026,trees
VGM_4_6_closed,VGM,4,6,closed,9,24,0.6956521739130435,0.3166049483919434,trees
CAR_5_6_closed,CAR,5,6,closed,4,5,0.8928571428571428,0.6440602861111444,trees
CBO_5_6_closed,CBO,5,6,closed,4,5,0.8928571428571428,0.6440602861111444,trees
VGM_5_6_closed,VGM,5,6,closed,14,20,0.8403361344537814,0.31842284175626145,trees
CBO_6_6_closed,CBO,6,6,closed,5,5,0.9999999999999998,0.6213349345596118,trees
ITA_6_6_closed,ITA,6,6,closed,1,1,1,0,trees
VGM_6_6_closed,VGM,6,6,closed,9,11,0.8962962962962963,0.40792202378461967,trees
VGM_7_6_closed,VGM,7,6,closed,7,23,0.6571428571428573,0.33770462498583625,trees
CAR_8_6_closed,CAR,8,6,closed,10,34,0.29340101522842643,0.12742244189851754,trees
ITA_8_6_closed,ITA,8,6,closed,2,2,1,1.4426950408889634,trees
VGM_8_6_closed,VGM,8,6,closed,9,12,0.8888888888888888,0.40455076738970547,trees
CAR_9_6_closed,CAR,9,6,closed,7,13,0.43896103896103894,0.22558135028698148,trees
CBO_9_6_closed,CBO,9,6,closed,5,14,0.3769230769230769,0.23419547533400753,trees
VGM_9_6_closed,VGM,9,6,closed,9,15,0.641025641025641,0.29174334186757606,trees
CAR_10_6_closed,CAR,10,6,closed,9,12,0.8888888888888888,0.40455076738970547,trees
ITA_10_6_closed,ITA,10,6,closed,1,1,1,0,trees
VGM_10_6_closed,VGM,10,6,closed,6,8,0.8888888888888888,0.49609833471221976,trees
CAR_11_6_closed,CAR,11,6,closed,5,7,0.7538461538461539,0.46839095066801517,trees
CBO_11_6_closed,CBO,11,6,closed,10,13,0.8894736842105262,0.38629351285078706,trees
