Parcelas,Id-plot,tratamento,total_plantulas,liana,tree,shrub,palm,bamboo,herb,dossel
CBO,CBO_p01o,open,88,10,7,2,5,7,8,67.39
CBO,CBO_p01c,closed,44,6,20,4,2,0,7,72.22
CBO,CBO_p02o,open,36,0,8,2,3,0,6,66.94
CBO,CBO_p02c,closed,32,1,11,2,3,0,3,65.92
CBO,CBO_p04o,open,21,1,10,0,4,1,0,64.56
CBO,CBO_p04c,closed,27,2,8,0,5,1,2,67.88
CBO,CBO_p05o,open,15,2,4,4,4,0,2,77.31
CBO,CBO_p05c,closed,26,0,8,3,1,0,5,72.43
CBO,CBO_p06o,open,54,1,9,5,4,11,14,70.09
CBO,CBO_p06c,closed,38,0,8,0,6,4,16,70.62
CBO,CBO_p09o,open,26,1,8,0,11,0,8,69.88
CBO,CBO_p09c,closed,44,1,17,1,2,0,8,70.62
CBO,CBO_p11o,open,49,1,11,6,2,1,8,64.4
CBO,CBO_p11c,closed,52,1,16,2,11,3,10,61.18
CBO,CBO_p12o,open,78,2,6,1,1,0,6,71.97
CBO,CBO_p12c,closed,49,0,1,2,3,0,9,73.2
CBO,CBO_p14o,open,40,2,7,1,6,0,6,68.66
CBO,CBO_p14c,closed,63,0,16,2,1,0,7,73.34
CBO,CBO_p15o,open,34,1,9,2,6,0,11,63.57
CBO,CBO_p15c,closed,44,3,9,1,2,0,9,71.24
CAR,CAR_p01o,open,23,0,7,0,0,0,10,69.22
CAR,CAR_p01c,closed,28,0,14,0,6,0,4,69.69
CAR,CAR_p02o,open,52,0,10,8,1,0,20,80.54
CAR,CAR_p02c,closed,49,1,18,4,0,0,14,80.5
CAR,CAR_p03o,open,14,0,6,3,3,0,1,79.01
CAR,CAR_p03c,closed,36,0,14,2,0,0,12,76.31
CAR,CAR_p04o,open,33,1,11,4,3,0,13,73.19
CAR,CAR_p04c,closed,67,3,37,1,2,0,18,84.76
CAR,CAR_p05o,open,49,2,7,3,10,0,19,84.01
CAR,CAR_p05c,closed,60,0,6,30,6,0,12,80.03
CAR,CAR_p08o,open,66,1,44,1,1,0,16,90.81
CAR,CAR_p08c,closed,109,0,70,11,5,0,19,90.78
CAR,CAR_p09o,open,43,0,15,3,5,0,13,61.89
CAR,CAR_p09c,closed,62,0,27,3,8,0,13,67.76
CAR,CAR_p10o,open,35,0,6,1,13,0,9,72.6
CAR,CAR_p10c,closed,91,1,10,1,55,0,11,72.61
CAR,CAR_p11o,open,35,0,3,6,9,0,9,60.51
CAR,CAR_p11c,closed,76,3,18,3,14,0,15,60.47
CAR,CAR_p12o,open,35,0,8,1,16,0,5,66.59
CAR,CAR_p12c,closed,37,1,5,5,14,0,3,63.35
CAR,CAR_p14o,open,24,0,6,4,5,0,2,67.37
CAR,CAR_p14c,closed,44,0,14,1,8,0,4,66.33
CAR,CAR_p15o,open,10,0,5,1,0,0,2,70.61
CAR,CAR_p15c,closed,50,0,16,13,6,0,4,70.02
ITA,ITA_p01o,open,29,0,7,5,7,5,7,84.55
ITA,ITA_p01c,closed,41,3,9,5,2,0,9,71.38
ITA,ITA_p02o,open,38,2,5,1,6,2,16,84.68
ITA,ITA_p02c,closed,44,0,11,0,10,2,23,84.07
ITA,ITA_p04o,open,19,1,4,3,17,3,5,60.68
ITA,ITA_p04c,closed,38,0,13,0,3,1,4,85.72
ITA,ITA_p06o,open,25,0,13,1,11,0,1,79.38
ITA,ITA_p06c,closed,58,9,23,3,6,0,2,71.67
ITA,ITA_p08o,open,38,1,9,1,8,6,14,64.04
ITA,ITA_p08c,closed,49,1,6,0,2,6,20,71.9
ITA,ITA_p10o,open,6,0,5,0,14,0,0,76.58
ITA,ITA_p10c,closed,34,1,2,8,6,8,0,86.46
ITA,ITA_p12o,open,12,0,5,2,5,0,0,89.59
ITA,ITA_p12c,closed,22,1,9,0,3,4,0,89.68
ITA,ITA_p14o,open,14,2,4,1,4,0,2,82.52
ITA,ITA_p14c,closed,38,2,9,2,1,0,3,91.65
ITA,ITA_p15o,open,18,0,9,0,7,0,2,62.19
ITA,ITA_p15c,closed,38,1,18,0,1,2,3,82.6
VGM,VGM_p01o,open,12,1,1,0,1,0,4,63.82
VGM,VGM_p01c,closed,15,0,5,2,5,0,1,68.03
VGM,VGM_p04o,open,62,10,17,2,2,1,10,69.14
VGM,VGM_p04c,closed,78,8,23,0,10,5,21,67.44
VGM,VGM_p05o,open,32,3,10,4,8,0,3,71.65
VGM,VGM_p05c,closed,87,12,33,0,11,4,11,70.25
VGM,VGM_p06o,open,59,0,10,4,13,4,22,78.2
VGM,VGM_p06c,closed,54,0,16,0,11,2,15,76.3
