propor,group,treat
0.322,treesxliana,open
0.303,treesxliana,open
0.341,treesxliana,open
0.146,treesxliana,closed
0.125,treesxliana,closed
0.167,treesxliana,closed
0.084,treesxpalm,open
0.068,treesxpalm,open
0.1,treesxpalm,open
0.144,treesxpalm,closed
0.124,treesxpalm,closed
0.164,treesxpalm,closed
0.224,treesxherb,open
0.209,treesxherb,open
0.239,treesxherb,open
0.25,treesxherb,closed
0.231,treesxherb,closed
0.269,treesxherb,closed
0.203,treesxbamboo,open
0.186,treesxbamboo,open
0.22,treesxbamboo,open
0.207,treesxbamboo,closed
0.187,treesxbamboo,closed
0.227,treesxbamboo,closed
0.16,treesxshrubs,open
0.144,treesxshrubs,open
0.176,treesxshrubs,open
-0.066,treesxshrubs,closed
-0.085,treesxshrubs,closed
-0.047,treesxshrubs,closed
0.498,lianasxtrees,open
0.441,lianasxtrees,open
0.555,lianasxtrees,open
0.324,lianasxtrees,closed
0.259,lianasxtrees,closed
0.389,lianasxtrees,closed
-0.189,lianaxpalms,open
-0.148,lianaxpalms,open
-0.23,lianaxpalms,open
0.11,lianaxpalms,closed
0.06,lianaxpalms,closed
0.16,lianaxpalms,closed
-0.187,lianaxshrub,open
-0.231,lianaxshrub,open
-0.143,lianaxshrub,open
-0.143,lianaxshrub,closed
-0.195,lianaxshrub,closed
-0.091,lianaxshrub,closed
0.082,lianaxherbs,open
0.117,lianaxherbs,open
0.047,lianaxherbs,open
-0.062,lianaxherbs,closed
-0.102,lianaxherbs,closed
-0.022,lianaxherbs,closed
0.517,lianaxbamboo,open
0.478,lianaxbamboo,open
0.556,lianaxbamboo,open
0.456,lianaxbamboo,closed
0.413,lianaxbamboo,closed
0.499,lianaxbamboo,closed
0.367,palmxtrees,open
0.341,palmxtrees,open
0.393,palmxtrees,open
0.346,palmxtrees,closed
0.314,palmxtrees,closed
0.378,palmxtrees,closed
0.179,palmxlianas,open
0.155,palmxlianas,open
0.203,palmxlianas,open
0.032,palmxlianas,closed
0.005,palmxlianas,closed
0.059,palmxlianas,closed
0.006,palmxshrubs,open
-0.015,palmxshrubs,open
0.027,palmxshrubs,open
0.213,palmxshrubs,closed
0.188,palmxshrubs,closed
0.238,palmxshrubs,closed
0.245,palmxherbs,open
0.227,palmxherbs,open
0.263,palmxherbs,open
-0.015,palmxherbs,closed
-0.037,palmxherbs,closed
0.007,palmxherbs,closed
0.6,palmxbamboo,open
0.579,palmxbamboo,open
0.621,palmxbamboo,open
0.214,palmxbamboo,closed
0.19,palmxbamboo,closed
0.238,palmxbamboo,closed
0.405,shrubsxtrees,open
0.364,shrubsxtrees,open
0.446,shrubsxtrees,open
-0.479,shrubsxtrees,closed
-0.528,shrubsxtrees,closed
-0.43,shrubsxtrees,closed
0.019,shrubxlianas,open
-0.022,shrubxlianas,open
0.06,shrubxlianas,open
-0.324,shrubxlianas,closed
-0.373,shrubxlianas,closed
-0.275,shrubxlianas,closed
0.106,shrubxpalm,open
0.074,shrubxpalm,open
0.138,shrubxpalm,open
-0.223,shrubxpalm,closed
-0.262,shrubxpalm,closed
-0.184,shrubxpalm,closed
0.091,shrubxherbs,open
0.063,shrubxherbs,open
0.119,shrubxherbs,open
-0.201,shrubxherbs,closed
-0.238,shrubxherbs,closed
-0.164,shrubxherbs,closed
0.284,shrubxbamboo,open
0.25,shrubxbamboo,open
0.318,shrubxbamboo,open
-0.303,shrubxbamboo,closed
-0.351,shrubxbamboo,closed
-0.255,shrubxbamboo,closed
0.416,herbsxtrees,open
0.392,herbsxtrees,open
0.44,herbsxtrees,open
0.292,herbsxtrees,closed
0.262,herbsxtrees,closed
0.322,herbsxtrees,closed
0.026,herbsxlianas,open
0.004,herbsxlianas,open
0.048,herbsxlianas,open
0.092,herbsxlianas,closed
0.067,herbsxlianas,closed
0.117,herbsxlianas,closed
0.179,herbsxplams,open
0.162,herbsxplams,open
0.196,herbsxplams,open
0.027,herbsxplams,closed
-0.049,herbsxplams,closed
-0.005,herbsxplams,closed
0.067,herbsxshrubs,open
0.05,herbsxshrubs,open
0.084,herbsxshrubs,open
-0.183,herbsxshrubs,closed
-0.205,herbsxshrubs,closed
-0.161,herbsxshrubs,closed
0.292,herbsxbamboos,open
0.274,herbsxbamboos,open
0.31,herbsxbamboos,open
0.558,herbsxbamboos,closed
0.537,herbsxbamboos,closed
0.579,herbsxbamboos,closed
0.669,bamboosxtrees,open
0.6,bamboosxtrees,open
0.738,bamboosxtrees,open
0.666,bamboosxtrees,closed
0.573,bamboosxtrees,closed
0.759,bamboosxtrees,closed
0.554,bamboosxlianas,open
0.504,bamboosxlianas,open
0.604,bamboosxlianas,open
0.473,bamboosxlianas,closed
0.412,bamboosxlianas,closed
0.534,bamboosxlianas,closed
0.308,bamboosxpalms,open
0.269,bamboosxpalms,open
0.347,bamboosxpalms,open
0.958,bamboosxpalms,closed
0.895,bamboosxpalms,closed
1.021,bamboosxpalms,closed
0.193,bamboosxshrubs,open
0.151,bamboosxshrubs,open
0.235,bamboosxshrubs,open
-0.347,bamboosxshrubs,closed
-0.41,bamboosxshrubs,closed
-0.284,bamboosxshrubs,closed
0.67,bamboosxherbs,open
0.618,bamboosxherbs,open
0.722,bamboosxherbs,open
0.818,bamboosxherbs,closed
0.754,bamboosxherbs,closed
0.882,bamboosxherbs,closed
