life_form,competitors,estimate,sd,treatment
trees,lianas,0.128,0.02,open
trees,lianas,0.064,0.02,closed
trees,palms,0.053,0.01,open
trees,palms,0.038,0.02,closed
trees,shrubs,0.036,0.01,open
trees,shrubs,0.057,0.02,closed
trees,herbs,0.131,0.02,open
trees,herbs,0.155,0.01,closed
trees,bamboos,0.077,0.02,open
trees,bamboos,-0.016,0.02,closed
lianas,trees,0.276,0.09,open
lianas,trees,0.258,0.09,closed
lianas,palms,-0.061,0.05,open
lianas,palms,0.276,0.06,closed
lianas,shrubs,-0.062,0.06,open
lianas,shrubs,-0.277,0.08,closed
lianas,herbs,0.447,0.07,open
lianas,herbs,0.19,0.06,closed
lianas,bamboos,0.203,0.06,open
lianas,bamboos,0.18,0.05,closed
palms,trees,0.588,0.03,open
palms,trees,0.467,0.03,closed
palms,lianas,0.178,0.03,open
palms,lianas,0.062,0.03,closed
palms,shrubs,0.065,0.02,open
palms,shrubs,-0.073,0.03,closed
palms,herbs,0.087,0.03,open
palms,herbs,-0.073,0.02,closed
palms,bamboos,0.527,0.03,open
palms,bamboos,0.452,0.02,closed
shrubs,trees,0.677,0.08,open
shrubs,trees,-0.071,0.08,closed
shrubs,lianas,-0.002,0.07,open
shrubs,lianas,-0.243,0.07,closed
shrubs,palms,0.205,0.06,open
shrubs,palms,-0.164,0.07,closed
shrubs,herbs,0.099,0.06,open
shrubs,herbs,0.255,0.06,closed
shrubs,bamboos,0.31,0.07,open
shrubs,bamboos,-0.411,0.07,closed
herbs,trees,0.06,0.04,open
herbs,trees,0.184,0.04,closed
herbs,lianas,0.05,0.03,open
herbs,lianas,0.222,0.03,closed
herbs,palms,0.029,0.02,open
herbs,palms,-0.051,0.03,closed
herbs,shrubs,0.061,0.02,open
herbs,shrubs,-0.076,0.03,closed
herbs,bamboos,0.053,0.03,open
herbs,bamboos,0.269,0.02,closed
bamboos,trees,0.186,0.01,open
bamboos,trees,0.461,0.01,closed
bamboos,lianas,0.709,0.1,open
bamboos,lianas,0.705,0.09,closed
bamboos,palms,0.074,0.06,open
bamboos,palms,0.725,0.12,closed
bamboos,shrubs,0.21,0.08,open
bamboos,shrubs,-0.219,0.12,closed
bamboos,herbs,0.945,0.09,open
bamboos,herbs,0.773,0.06,closed
