id_plot,wlp,tapir,small,predators,frugivores,xenarthras,tree,herb,liana,bamboo,palm
p1_co,2883.30,0.00,9.20,0.00,657.89,0.00,5.00,1.00,0.00,0.00,0.00
p2_co,0.00,0.00,18.58,0.00,675.68,0.00,29.00,3.00,0.00,0.00,2.00
p3_co,76974.15,0.00,195.50,0.00,3804.35,0.00,0.00,0.00,0.00,0.00,0.00
p4_co,2389.76,0.00,2.93,0.00,1315.79,0.00,0.00,0.00,0.00,0.00,0.00
p5_co,6186.84,0.00,15.65,782.61,543.48,0.00,41.00,3.00,0.00,0.00,1.00
p8_co,85195.97,0.00,3.83,0.00,0.00,148.94,7.00,2.00,1.00,0.00,1.00
p9_co,12972.97,0.00,2.55,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00
p10_co,5675.68,0.00,81.08,0.00,0.00,0.00,6.00,0.00,0.00,0.00,1.00
p11_co,22737.96,0.00,16.96,65.22,206.52,0.00,0.00,0.00,0.00,0.00,0.00
p12_co,28014.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
p14_co,455889.05,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
p15_co,131351.35,0.00,70.14,1041.67,395.83,0.00,1.00,0.00,0.00,0.00,0.00
p1_cc,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
p2_cc,0.00,0.00,59.29,0.00,0.00,0.00,65.00,2.00,0.00,0.00,0.00
p3_cc,0.00,0.00,356.42,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
p4_cc,0.00,0.00,1.30,0.00,0.00,0.00,3.00,2.00,0.00,0.00,2.00
p5_cc,0.00,0.00,19.37,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00
p8_cc,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0.00,0.00
p9_cc,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,4.00
p10_cc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.00
p11_cc,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
p12_cc,0.00,0.00,8.11,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
p14_cc,0.00,0.00,3.24,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00
p15_cc,0.00,0.00,9.22,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
p1_io,15000.00,0.00,31.49,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00
p2_io,252500.00,0.00,285.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
p4_io,285939.72,9574.47,5.11,0.00,6535.46,0.00,1.00,2.00,0.00,0.00,0.00
p6_io,88421.05,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
p8_io,0.00,0.00,12.12,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
p10_io,30942.93,0.00,129.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
p12_io,137086.74,0.00,35.74,10397.16,1025.64,0.00,0.00,0.00,0.00,0.00,0.00
p14_io,29018.00,0.00,7.17,0.00,3589.74,102.56,0.00,0.00,6.00,0.00,0.00
p15_io,17692.31,0.00,5.13,76.92,0.00,0.00,0.00,1.00,0.00,0.00,0.00
p1_ic,0.00,0.00,9.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
p2_ic,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
p4_ic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00
p6_ic,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,4.00
p8_ic,0.00,0.00,75.71,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
p10_ic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
p12_ic,0.00,0.00,49.20,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
p14_ic,0.00,0.00,155.69,0.00,0.00,0.00,6.00,1.00,19.00,0.00,0.00
p15_ic,0.00,0.00,45.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
p1_vgo,0.00,16216.22,13.46,3191.49,1010.64,74.47,0.00,0.00,1.00,0.00,1.00
p4_vgo,0.00,19230.77,274.64,0.00,0.00,148.94,0.00,3.00,5.00,0.00,0.00
p5_vgo,0.00,0.00,111.25,0.00,6868.79,0.00,3.00,0.00,0.00,0.00,2.00
p6_vgo,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
p7_vgo,0.00,0.00,21.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
p8_vgo,0.00,0.00,1.54,0.00,1055.56,0.00,1.00,0.00,0.00,0.00,1.00
p9_vgo,0.00,0.00,0.00,0.00,0.00,0.00,5.00,15.00,3.00,0.00,0.00
p10_vgo,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
p11_vgo,0.00,0.00,225.96,0.00,263.89,297.87,1.00,0.00,1.00,0.00,1.00
p12_vgo,0.00,0.00,236.55,219.51,448.28,0.00,1.00,0.00,0.00,0.00,0.00
p14_vgo,0.00,12000.00,112.80,720.00,380.00,0.00,0.00,0.00,0.00,0.00,3.00
p15_vgo,0.00,0.00,870.00,0.00,11250.00,0.00,0.00,0.00,0.00,0.00,0.00
p1_vgc,0.00,0.00,44.86,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
p4_vgc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00
p5_vgc,0.00,0.00,82.55,0.00,0.00,0.00,0.00,3.00,0.00,1.00,2.00
p6_vgc,0.00,0.00,72.95,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00
p7_vgc,0.00,0.00,56.48,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00
p8_vgc,0.00,0.00,55.19,0.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
p9_vgc,0.00,0.00,103.32,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00
p10_vgc,0.00,0.00,170.87,0.00,0.00,0.00,2.00,0.00,0.00,0.00,6.00
p11_vgc,0.00,0.00,187.50,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00
p12_vgc,0.00,0.00,115.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
