id_plot	tree	herb	liana	bamboo	palm
p1_co	5	1	0	0	0
p2_co	29	3	0	0	2
p3_co	0	0	0	0	0
p4_co	0	0	0	0	0
p5_co	41	3	0	0	1
p8_co	7	2	1	0	1
p9_co	4	1	0	0	0
p10_co	6	0	0	0	1
p11_co	0	0	0	0	0
p12_co	0	0	0	0	0
p14_co	1	1	0	0	0
p15_co	1	0	0	0	0
p1_cc	1	0	0	0	0
p2_cc	65	2	0	0	0
p3_cc	2	0	0	0	0
p4_cc	3	2	0	0	2
p5_cc	1	0	0	0	3
p8_cc	5	4	0	0	0
p9_cc	2	2	0	0	4
p10_cc	0	1	0	0	10
p11_cc	2	0	0	0	1
p12_cc	1	0	0	0	0
p14_cc	0	1	0	0	3
p15_cc	3	0	0	0	0
p1_io	0	2	0	0	1
p2_io	0	0	0	0	0
p4_io	1	2	0	0	0
p6_io	1	0	0	0	0
p8_io	0	2	0	0	0
p10_io	0	0	0	0	0
p12_io	0	0	0	0	0
p14_io	0	0	6	0	0
p15_io	0	1	0	0	0
p1_ic	0	0	0	0	4
p2_ic	2	0	0	0	0
p4_ic	0	1	0	0	2
p6_ic	2	0	1	0	4
p8_ic	1	0	0	0	0
p10_ic	0	0	0	0	0
p12_ic	3	0	0	0	0
p14_ic	6	1	19	0	0
p15_ic	0	0	0	0	1
p1_vgo	0	0	1	0	1
p4_vgo	0	3	5	0	0
p5_vgo	3	0	0	0	2
p6_vgo	1	0	0	0	0
p7_vgo	0	0	0	0	0
p8_vgo	1	0	0	0	1
p9_vgo	5	15	3	0	0
p10_vgo	0	0	0	0	1
p11_vgo	1	0	1	0	1
p12_vgo	1	0	0	0	0
p14_vgo	0	0	0	0	3
p15_vgo	0	0	0	0	0
p1_vgc	3	0	0	0	1
p4_vgc	0	2	2	0	0
p5_vgc	0	3	0	1	2
p6_vgc	1	0	0	0	2
p7_vgc	2	1	0	0	1
p8_vgc	4	0	0	0	2
p9_vgc	0	2	0	1	0
p10_vgc	2	0	0	0	6
p11_vgc	2	0	0	1	0
p12_vgc	0	0	0	0	3
p14_vgc	0	0	0	0	0
p15_vgc	5	0	0	0	2
p1_bo	4	1	1	0	2
p2_bo	0	0	0	0	0
p4_bo	0	0	0	0	1
p5_bo	3	0	0	0	0
p6_bo	1	7	0	4	0
p9_bo	3	0	0	0	2
p11_bo	0	0	0	0	7
p12_bo	1	0	0	0	1
p14_bo	2	0	0	0	1
p15_bo	0	0	0	0	8
p1_bc	0	1	2	0	0
p2_bc	5	1	0	0	0
p4_bc	1	1	0	0	1
p5_bc	1	0	1	0	0
p6_bc	1	3	0	0	0
p9_bc	1	0	0	0	0
p11_bc	2	0	0	0	2
p12_bc	0	0	1	0	2
p14_bc	6	2	0	0	0
p15_bc	0	1	1	0	1
