from,to,estimate,treatment,effect,abundance,life_form
trees,lianas,0.064,closed,positive,11220,trees
trees,bamboos,-0.016,closed,positive,11220,trees
lianas,palms,0.276,closed,negative,2280,lianas
lianas,shrubs,-0.277,closed,negative,2280,lianas
lianas,herbs,0.19,closed,positive,2280,lianas
palms,trees,0.467,closed,positive,6302,palms
palms,lianas,0.062,closed,positive,6302,palms
palms,shrubs,-0.073,closed,positive,6302,palms
palms,herbs,-0.073,closed,positive,6302,palms
palms,bamboos,0.452,closed,positive,6302,palms
shrubs,trees,-0.071,closed,positive,2615,shrubs
shrubs,lianas,-0.243,closed,negative,2615,shrubs
shrubs,palms,-0.164,closed,positive,2615,shrubs
shrubs,herbs,0.255,closed,positive,2615,shrubs
shrubs,bamboos,-0.411,closed,positive,2615,shrubs
herbs,trees,0.184,closed,positive,7747,herbs
herbs,lianas,0.222,closed,positive,7747,herbs
herbs,palms,-0.051,closed,positive,7747,herbs
herbs,shrubs,-0.076,closed,positive,7747,herbs
herbs,bamboos,0.269,closed,positive,7747,herbs
bamboos,palms,0.725,closed,positive,1052,bamboos
bamboos,shrubs,-0.219,closed,positive,1052,bamboos
bamboos,herbs,0.773,closed,positive,1052,bamboos
