competidor,competidores,estimate,treatment,effect,abundance,life_form
trees,lianas,0.128,open,positive,11220,trees
trees,palms,0.053,open,positive,11220,trees
trees,shrubs,0.036,open,positive,11220,trees
trees,herbs,0.131,open,positive,11220,trees
trees,bamboos,0.077,open,positive,11220,trees
lianas,trees,0.276,open,positive,2280,lianas
lianas,palms,-0.061,open,negative,2280,lianas
lianas,shrubs,-0.062,open,negative,2280,lianas
lianas,herbs,0.447,open,positive,2280,lianas
lianas,bamboos,0.203,open,positive,2280,lianas
palms,trees,0.588,open,positive,6302,palms
palms,lianas,0.178,open,positive,6302,palms
palms,shrubs,0.065,open,positive,6302,palms
palms,herbs,0.087,open,positive,6302,palms
palms,bamboos,0.527,open,positive,6302,palms
shrubs,trees,0.677,open,positive,2615,shrubs
shrubs,lianas,-0.002,open,negative,2615,shrubs
shrubs,palms,0.205,open,positive,2615,shrubs
shrubs,herbs,0.099,open,positive,2615,shrubs
shrubs,bamboos,0.31,open,positive,2615,shrubs
herbs,trees,0.06,open,positive,7747,herbs
herbs,lianas,0.05,open,positive,7747,herbs
herbs,palms,0.029,open,positive,7747,herbs
herbs,shrubs,0.061,open,positive,7747,herbs
herbs,bamboos,0.053,open,positive,7747,herbs
bamboos,trees,0.186,open,positive,1052,bamboos
bamboos,lianas,0.709,open,positive,1052,bamboos
bamboos,palms,0.074,open,positive,1052,bamboos
bamboos,shrubs,0.21,open,positive,1052,bamboos
bamboos,herbs,0.945,open,positive,1052,bamboos
