competidor,competidores,estimate,treatment,effect,abundance,life_form
trees,lianas,0.128,open,positive,6948,trees
trees,palms,0.053,open,positive,6948,trees
trees,herbs,0.131,open,positive,6948,trees
trees,bamboos,0.077,open,positive,6948,trees
lianas,trees,0.276,open,positive,1157,lianas
lianas,herbs,0.447,open,positive,1157,lianas
lianas,bamboos,0.203,open,positive,1157,lianas
palms,trees,0.588,open,positive,4490,palms
palms,lianas,0.178,open,positive,4490,palms
palms,shrubs,0.065,open,positive,4490,palms
palms,herbs,0.087,open,positive,4490,palms
palms,bamboos,0.527,open,positive,4490,palms
shrubs,trees,0.677,open,positive,1902,shrubs
shrubs,palms,0.205,open,positive,1902,shrubs
shrubs,bamboos,0.31,open,positive,1902,shrubs
herbs,shrubs,0.061,open,positive,5849,herbs
bamboos,lianas,0.709,open,positive,927,bamboos
bamboos,shrubs,0.21,open,positive,927,bamboos
bamboos,herbs,0.945,open,positive,927,bamboos
