Index,Site,Plot,Treatment,Individual,p0,p06,p12,p18,p24,p30,p36,p42,p48,p54,p60,p66,p72,p78,p84,p90,p96,Trecruit,Tdeath,Species,Family,Life_Form
1,CAR,1,open,C1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T0,T36,Araceae sp.,Araceae,herb
2,CAR,1,open,C2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Chionanthus filiformis,Oleaceae,tree
3,CAR,1,open,C3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Guarea macrophylla,Meliaceae,tree
4,CAR,1,open,C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Eugenia cuprea,Myrtaceae,tree
5,CAR,1,open,C5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Goeppertia sp.,Marantaceae,herb
6,CAR,1,open,C6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Goeppertia sp.,Marantaceae,herb
7,CAR,1,open,C7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T24,T36,Euterpe edulis,Arecaceae,palm
8,CAR,1,open,C8,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA,NA,T24,T54,Serjania sp.,Sapindaceae,liana
9,CAR,1,open,C9,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,T30,alive,Gomidesia sp.,Myrtaceae,tree
10,CAR,1,open,C10,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,T30,alive,Philodendron sp.,Araceae,herb
11,CAR,1,open,C11,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,T30,alive,Indeterminate sp.,Indeterminate,indeterminate
12,CAR,1,open,C12,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,NA,NA,T36,T84,Euterpe edulis,Arecaceae,palm
