area,time,treatment,seedling
CAR,0,close,36
CBO,0,close,61
VGM,0,close,42
ITA,0,close,19
CAR,6,close,277
CBO,6,close,79
VGM,6,close,158
ITA,6,close,135
CAR,12,close,149
CBO,12,close,99
VGM,12,close,109
ITA,12,close,127
CAR,18,close,117
CBO,18,close,19
VGM,18,close,125
ITA,18,close,81
CAR,24,close,116
CBO,24,close,9
VGM,24,close,87
ITA,24,close,54
CAR,30,close,97
CBO,30,close,15
VGM,30,close,80
ITA,30,close,55
CAR,36,close,71
CBO,36,close,16
VGM,36,close,65
ITA,36,close,29
CAR,42,close,90
CBO,42,close,20
VGM,42,close,69
ITA,42,close,24
CAR,48,close,88
CBO,48,close,16
VGM,48,close,77
ITA,48,close,41
CAR,54,close,55
CBO,54,close,18
VGM,54,close,48
ITA,54,close,16
CAR,60,close,50
CBO,60,close,8
VGM,60,close,20
ITA,60,close,18
CAR,66,close,32
CBO,66,close,4
VGM,66,close,40
ITA,66,close,15
CAR,72,close,7
CBO,72,close,30
VGM,72,close,35
ITA,72,close,28
CAR,78,close,20
CBO,78,close,16
VGM,78,close,33
ITA,78,close,19
CAR,84,close,216
CBO,84,close,163
VGM,84,close,310
ITA,84,close,93
CAR,0,open,30
CBO,0,open,73
VGM,0,open,24
ITA,0,open,8
CAR,6,open,378
CBO,6,open,85
VGM,6,open,175
ITA,6,open,152
CAR,12,open,189
CBO,12,open,77
VGM,12,open,107
ITA,12,open,91
CAR,18,open,91
CBO,18,open,16
VGM,18,open,117
ITA,18,open,89
CAR,24,open,76
CBO,24,open,20
VGM,24,open,80
ITA,24,open,45
CAR,30,open,52
CBO,30,open,17
VGM,30,open,71
ITA,30,open,43
CAR,36,open,65
CBO,36,open,10
VGM,36,open,40
ITA,36,open,12
CAR,42,open,50
CBO,42,open,13
VGM,42,open,40
ITA,42,open,15
CAR,48,open,43
CBO,48,open,16
VGM,48,open,63
ITA,48,open,28
CAR,54,open,36
CBO,54,open,10
VGM,54,open,21
ITA,54,open,16
CAR,60,open,30
CBO,60,open,5
VGM,60,open,17
ITA,60,open,12
CAR,66,open,19
CBO,66,open,5
VGM,66,open,14
ITA,66,open,25
CAR,72,open,5
CBO,72,open,35
VGM,72,open,12
ITA,72,open,12
CAR,78,open,14
CBO,78,open,25
VGM,78,open,10
ITA,78,open,10
CAR,84,open,97
CBO,84,open,155
VGM,84,open,105
ITA,84,open,50
