Site,Freq,Treatment,Period
CAR,427,closed,0
CBO,258,closed,0
ITA,148,closed,0
VGM,589,closed,0
CAR,402,open,0
CBO,259,open,0
ITA,212,open,0
VGM,502,open,0
CAR,439,closed,06
CBO,261,closed,06
ITA,202,closed,06
VGM,609,closed,06
CAR,358,open,06
CBO,261,open,06
ITA,228,open,06
VGM,518,open,06
CAR,403,closed,12
CBO,261,closed,12
ITA,231,closed,12
VGM,653,closed,12
CAR,255,open,12
CBO,275,open,12
ITA,224,open,12
VGM,554,open,12
CAR,438,closed,18
CBO,256,closed,18
ITA,242,closed,18
VGM,644,closed,18
CAR,256,open,18
CBO,269,open,18
ITA,203,open,18
VGM,468,open,18
CAR,483,closed,24
CBO,258,closed,24
ITA,237,closed,24
VGM,638,closed,24
CAR,296,open,24
CBO,257,open,24
ITA,180,open,24
VGM,441,open,24
CAR,548,closed,30
CBO,290,closed,30
ITA,263,closed,30
VGM,649,closed,30
CAR,383,open,30
CBO,271,open,30
ITA,200,open,30
VGM,420,open,30
CAR,620,closed,36
CBO,286,closed,36
ITA,293,closed,36
VGM,702,closed,36
CAR,370,open,36
CBO,274,open,36
ITA,215,open,36
VGM,479,open,36
CAR,676,closed,42
CBO,289,closed,42
ITA,317,closed,42
VGM,713,closed,42
CAR,402,open,42
CBO,272,open,42
ITA,220,open,42
VGM,461,open,42
CAR,679,closed,48
CBO,280,closed,48
ITA,303,closed,48
VGM,687,closed,48
CAR,396,open,48
CBO,269,open,48
ITA,194,open,48
VGM,447,open,48
CAR,715,closed,54
CBO,233,closed,54
ITA,398,closed,54
VGM,674,closed,54
CAR,399,open,54
CBO,228,open,54
ITA,236,open,54
VGM,456,open,54
CAR,728,closed,60
CBO,233,closed,60
ITA,431,closed,60
VGM,682,closed,60
CAR,388,open,60
CBO,228,open,60
ITA,239,open,60
VGM,462,open,60
CAR,701,closed,66
CBO,233,closed,66
ITA,368,closed,66
VGM,667,closed,66
CAR,371,open,66
CBO,228,open,66
ITA,200,open,66
VGM,437,open,66
CAR,703,closed,72
CBO,340,closed,72
ITA,357,closed,72
VGM,675,closed,72
CAR,375,open,72
CBO,314,open,72
ITA,176,open,72
VGM,437,open,72
CAR,789,closed,78
CBO,327,closed,78
ITA,375,closed,78
VGM,674,closed,78
CAR,466,open,78
CBO,312,open,78
ITA,182,open,78
VGM,439,open,78
CAR,716,closed,84
CBO,343,closed,84
ITA,370,closed,84
VGM,688,closed,84
CAR,420,open,84
CBO,316,open,84
ITA,176,open,84
VGM,445,open,84
CAR,646,closed,90
CBO,337,closed,90
ITA,281,closed,90
VGM,615,closed,90
CAR,343,open,90
CBO,327,open,90
ITA,149,open,90
VGM,367,open,90
CAR,709,closed,96
CBO,339,closed,96
ITA,361,closed,96
VGM,710,closed,96
CAR,420,open,96
CBO,324,open,96
ITA,200,open,96
VGM,444,open,96
CBO,315,closed,102
CBO,291,open,102
CBO,420,closed,108
CBO,442,open,108
