Site,Freq,Treatment,Period
CBO,6,closed,0
VGM,57,closed,0
CBO,21,open,0
VGM,43,open,0
CBO,6,closed,06
ITA,1,closed,06
VGM,55,closed,06
CBO,21,open,06
ITA,2,open,06
VGM,41,open,06
CBO,6,closed,12
VGM,55,closed,12
CBO,21,open,12
ITA,1,open,12
VGM,38,open,12
CBO,6,closed,18
VGM,49,closed,18
CBO,20,open,18
ITA,1,open,18
VGM,30,open,18
CBO,6,closed,24
VGM,48,closed,24
CBO,19,open,24
ITA,2,open,24
VGM,26,open,24
CBO,6,closed,30
VGM,45,closed,30
CBO,19,open,30
ITA,2,open,30
VGM,23,open,30
CBO,8,closed,36
VGM,46,closed,36
CBO,19,open,36
ITA,2,open,36
VGM,28,open,36
CBO,9,closed,42
VGM,46,closed,42
CBO,18,open,42
ITA,2,open,42
VGM,30,open,42
CBO,9,closed,48
VGM,42,closed,48
CBO,19,open,48
ITA,1,open,48
VGM,27,open,48
CBO,8,closed,54
VGM,38,closed,54
CBO,16,open,54
VGM,25,open,54
CBO,8,closed,60
VGM,39,closed,60
CBO,16,open,60
VGM,25,open,60
CBO,8,closed,66
VGM,34,closed,66
CBO,16,open,66
VGM,24,open,66
CBO,9,closed,72
VGM,34,closed,72
CBO,18,open,72
VGM,24,open,72
CBO,8,closed,78
VGM,35,closed,78
CBO,17,open,78
VGM,24,open,78
CBO,8,closed,84
VGM,34,closed,84
CBO,16,open,84
VGM,22,open,84
CBO,7,closed,90
VGM,30,closed,90
CBO,20,open,90
VGM,20,open,90
CBO,8,closed,96
ITA,23,closed,96
VGM,42,closed,96
CBO,20,open,96
ITA,16,open,96
VGM,26,open,96
CBO,8,closed,102
CBO,19,open,102
CBO,8,closed,108
CBO,20,open,108
