Site,Freq,Treatment,Period
CAR,87,closed,0
CBO,62,closed,0
ITA,30,closed,0
VGM,156,closed,0
CAR,93,open,0
CBO,54,open,0
ITA,46,open,0
VGM,91,open,0
CAR,81,closed,06
CBO,62,closed,06
ITA,36,closed,06
VGM,175,closed,06
CAR,77,open,06
CBO,55,open,06
ITA,49,open,06
VGM,96,open,06
CAR,74,closed,12
CBO,62,closed,12
ITA,39,closed,12
VGM,186,closed,12
CAR,60,open,12
CBO,58,open,12
ITA,54,open,12
VGM,107,open,12
CAR,80,closed,18
CBO,60,closed,18
ITA,40,closed,18
VGM,187,closed,18
CAR,60,open,18
CBO,56,open,18
ITA,45,open,18
VGM,99,open,18
CAR,87,closed,24
CBO,59,closed,24
ITA,37,closed,24
VGM,182,closed,24
CAR,66,open,24
CBO,51,open,24
ITA,38,open,24
VGM,99,open,24
CAR,93,closed,30
CBO,63,closed,30
ITA,36,closed,30
VGM,178,closed,30
CAR,99,open,30
CBO,56,open,30
ITA,46,open,30
VGM,92,open,30
CAR,106,closed,36
CBO,62,closed,36
ITA,39,closed,36
VGM,195,closed,36
CAR,80,open,36
CBO,57,open,36
ITA,52,open,36
VGM,127,open,36
CAR,114,closed,42
CBO,61,closed,42
ITA,43,closed,42
VGM,211,closed,42
CAR,93,open,42
CBO,56,open,42
ITA,53,open,42
VGM,126,open,42
CAR,118,closed,48
CBO,62,closed,48
ITA,44,closed,48
VGM,200,closed,48
CAR,101,open,48
CBO,55,open,48
ITA,49,open,48
VGM,125,open,48
CAR,115,closed,54
CBO,58,closed,54
ITA,46,closed,54
VGM,203,closed,54
CAR,107,open,54
CBO,49,open,54
ITA,49,open,54
VGM,120,open,54
CAR,118,closed,60
CBO,58,closed,60
ITA,46,closed,60
VGM,202,closed,60
CAR,112,open,60
CBO,49,open,60
ITA,43,open,60
VGM,127,open,60
CAR,114,closed,66
CBO,58,closed,66
ITA,47,closed,66
VGM,206,closed,66
CAR,107,open,66
CBO,49,open,66
ITA,36,open,66
VGM,114,open,66
CAR,119,closed,72
CBO,74,closed,72
ITA,48,closed,72
VGM,200,closed,72
CAR,114,open,72
CBO,64,open,72
ITA,34,open,72
VGM,115,open,72
CAR,121,closed,78
CBO,73,closed,78
ITA,47,closed,78
VGM,194,closed,78
CAR,114,open,78
CBO,65,open,78
ITA,40,open,78
VGM,123,open,78
CAR,124,closed,84
CBO,80,closed,84
ITA,49,closed,84
VGM,197,closed,84
CAR,120,open,84
CBO,67,open,84
ITA,39,open,84
VGM,121,open,84
CAR,117,closed,90
CBO,76,closed,90
ITA,47,closed,90
VGM,178,closed,90
CAR,109,open,90
CBO,68,open,90
ITA,36,open,90
VGM,96,open,90
CAR,129,closed,96
CBO,76,closed,96
ITA,64,closed,96
VGM,193,closed,96
CAR,119,open,96
CBO,69,open,96
ITA,47,open,96
VGM,117,open,96
CBO,75,closed,102
CBO,64,open,102
CBO,78,closed,108
CBO,67,open,108
