Site,Freq,Treatment,Period
CAR,6,closed,0
CBO,14,closed,0
ITA,7,closed,0
VGM,51,closed,0
CAR,3,open,0
CBO,16,open,0
ITA,12,open,0
VGM,10,open,0
CAR,6,closed,06
CBO,15,closed,06
ITA,36,closed,06
VGM,55,closed,06
CAR,3,open,06
CBO,14,open,06
ITA,14,open,06
VGM,14,open,06
CAR,5,closed,12
CBO,16,closed,12
ITA,44,closed,12
VGM,58,closed,12
CAR,2,open,12
CBO,15,open,12
ITA,11,open,12
VGM,19,open,12
CAR,5,closed,18
CBO,16,closed,18
ITA,35,closed,18
VGM,58,closed,18
CAR,2,open,18
CBO,15,open,18
ITA,11,open,18
VGM,15,open,18
CAR,4,closed,24
CBO,17,closed,24
ITA,19,closed,24
VGM,59,closed,24
CAR,3,open,24
CBO,15,open,24
ITA,10,open,24
VGM,16,open,24
CAR,4,closed,30
CBO,21,closed,30
ITA,18,closed,30
VGM,55,closed,30
CAR,4,open,30
CBO,22,open,30
ITA,13,open,30
VGM,13,open,30
CAR,7,closed,36
CBO,15,closed,36
ITA,26,closed,36
VGM,64,closed,36
CAR,6,open,36
CBO,23,open,36
ITA,10,open,36
VGM,22,open,36
CAR,8,closed,42
CBO,25,closed,42
ITA,31,closed,42
VGM,64,closed,42
CAR,6,open,42
CBO,22,open,42
ITA,13,open,42
VGM,21,open,42
CAR,9,closed,48
CBO,17,closed,48
ITA,22,closed,48
VGM,63,closed,48
CAR,4,open,48
CBO,22,open,48
ITA,10,open,48
VGM,23,open,48
CAR,14,closed,54
CBO,11,closed,54
ITA,104,closed,54
VGM,58,closed,54
CAR,8,open,54
CBO,17,open,54
ITA,42,open,54
VGM,19,open,54
CAR,16,closed,60
CBO,11,closed,60
ITA,115,closed,60
VGM,58,closed,60
CAR,6,open,60
CBO,17,open,60
ITA,42,open,60
VGM,21,open,60
CAR,13,closed,66
CBO,11,closed,66
ITA,65,closed,66
VGM,51,closed,66
CAR,5,open,66
CBO,17,open,66
ITA,24,open,66
VGM,20,open,66
CAR,12,closed,72
CBO,19,closed,72
ITA,38,closed,72
VGM,50,closed,72
CAR,6,open,72
CBO,29,open,72
ITA,10,open,72
VGM,18,open,72
CAR,10,closed,78
CBO,16,closed,78
ITA,43,closed,78
VGM,47,closed,78
CAR,6,open,78
CBO,21,open,78
ITA,11,open,78
VGM,24,open,78
CAR,10,closed,84
CBO,18,closed,84
ITA,40,closed,84
VGM,48,closed,84
CAR,6,open,84
CBO,19,open,84
ITA,10,open,84
VGM,27,open,84
CAR,9,closed,90
CBO,15,closed,90
ITA,20,closed,90
VGM,43,closed,90
CAR,6,open,90
CBO,20,open,90
ITA,6,open,90
VGM,23,open,90
CAR,9,closed,96
CBO,14,closed,96
ITA,24,closed,96
VGM,46,closed,96
CAR,6,open,96
CBO,21,open,96
ITA,8,open,96
VGM,23,open,96
CBO,14,closed,102
CBO,20,open,102
CBO,84,closed,108
CBO,103,open,108
