Site,Freq,Treatment,Period
CAR,73,closed,0
CBO,21,closed,0
ITA,49,closed,0
VGM,94,closed,0
CAR,58,open,0
CBO,27,open,0
ITA,66,open,0
VGM,187,open,0
CAR,91,closed,06
CBO,21,closed,06
ITA,57,closed,06
VGM,88,closed,06
CAR,61,open,06
CBO,25,open,06
ITA,71,open,06
VGM,185,open,06
CAR,79,closed,12
CBO,20,closed,12
ITA,67,closed,12
VGM,96,closed,12
CAR,40,open,12
CBO,30,open,12
ITA,70,open,12
VGM,188,open,12
CAR,92,closed,18
CBO,19,closed,18
ITA,82,closed,18
VGM,91,closed,18
CAR,37,open,18
CBO,32,open,18
ITA,61,open,18
VGM,138,open,18
CAR,118,closed,24
CBO,23,closed,24
ITA,93,closed,24
VGM,95,closed,24
CAR,60,open,24
CBO,33,open,24
ITA,53,open,24
VGM,116,open,24
CAR,144,closed,30
CBO,35,closed,30
ITA,116,closed,30
VGM,96,closed,30
CAR,83,open,30
CBO,33,open,30
ITA,59,open,30
VGM,111,open,30
CAR,156,closed,36
CBO,35,closed,36
ITA,126,closed,36
VGM,102,closed,36
CAR,83,open,36
CBO,34,open,36
ITA,57,open,36
VGM,99,open,36
CAR,137,closed,42
CBO,33,closed,42
ITA,124,closed,42
VGM,94,closed,42
CAR,78,open,42
CBO,39,open,42
ITA,52,open,42
VGM,76,open,42
CAR,124,closed,48
CBO,36,closed,48
ITA,113,closed,48
VGM,80,closed,48
CAR,71,open,48
CBO,39,open,48
ITA,44,open,48
VGM,60,open,48
CAR,144,closed,54
CBO,30,closed,54
ITA,120,closed,54
VGM,73,closed,54
CAR,63,open,54
CBO,29,open,54
ITA,51,open,54
VGM,64,open,54
CAR,145,closed,60
CBO,30,closed,60
ITA,139,closed,60
VGM,78,closed,60
CAR,62,open,60
CBO,29,open,60
ITA,57,open,60
VGM,64,open,60
CAR,142,closed,66
CBO,30,closed,66
ITA,129,closed,66
VGM,68,closed,66
CAR,55,open,66
CBO,29,open,66
ITA,56,open,66
VGM,56,open,66
CAR,129,closed,72
CBO,43,closed,72
ITA,129,closed,72
VGM,72,closed,72
CAR,53,open,72
CBO,42,open,72
ITA,48,open,72
VGM,58,open,72
CAR,133,closed,78
CBO,42,closed,78
ITA,130,closed,78
VGM,73,closed,78
CAR,49,open,78
CBO,48,open,78
ITA,44,open,78
VGM,53,open,78
CAR,129,closed,84
CBO,39,closed,84
ITA,124,closed,84
VGM,77,closed,84
CAR,50,open,84
CBO,45,open,84
ITA,41,open,84
VGM,57,open,84
CAR,104,closed,90
CBO,40,closed,90
ITA,71,closed,90
VGM,62,closed,90
CAR,40,open,90
CBO,46,open,90
ITA,32,open,90
VGM,39,open,90
CAR,124,closed,96
CBO,36,closed,96
ITA,79,closed,96
VGM,78,closed,96
CAR,67,open,96
CBO,40,open,96
ITA,34,open,96
VGM,56,open,96
CBO,33,closed,102
CBO,36,open,102
CBO,40,closed,108
CBO,69,open,108
