Site,Freq,Treatment,Period
CAR,67,closed,0
CBO,20,closed,0
ITA,12,closed,0
VGM,27,closed,0
CAR,50,open,0
CBO,26,open,0
ITA,13,open,0
VGM,21,open,0
CAR,63,closed,06
CBO,20,closed,06
ITA,12,closed,06
VGM,27,closed,06
CAR,45,open,06
CBO,27,open,06
ITA,16,open,06
VGM,24,open,06
CAR,60,closed,12
CBO,20,closed,12
ITA,13,closed,12
VGM,29,closed,12
CAR,35,open,12
CBO,26,open,12
ITA,17,open,12
VGM,26,open,12
CAR,61,closed,18
CBO,20,closed,18
ITA,14,closed,18
VGM,30,closed,18
CAR,36,open,18
CBO,26,open,18
ITA,18,open,18
VGM,25,open,18
CAR,61,closed,24
CBO,19,closed,24
ITA,15,closed,24
VGM,31,closed,24
CAR,35,open,24
CBO,23,open,24
ITA,16,open,24
VGM,26,open,24
CAR,62,closed,30
CBO,18,closed,30
ITA,15,closed,30
VGM,30,closed,30
CAR,38,open,30
CBO,23,open,30
ITA,15,open,30
VGM,28,open,30
CAR,74,closed,36
CBO,18,closed,36
ITA,15,closed,36
VGM,29,closed,36
CAR,39,open,36
CBO,23,open,36
ITA,16,open,36
VGM,29,open,36
CAR,93,closed,42
CBO,18,closed,42
ITA,15,closed,42
VGM,28,closed,42
CAR,39,open,42
CBO,21,open,42
ITA,16,open,42
VGM,28,open,42
CAR,95,closed,48
CBO,17,closed,48
ITA,15,closed,48
VGM,28,closed,48
CAR,37,open,48
CBO,20,open,48
ITA,16,open,48
VGM,27,open,48
CAR,96,closed,54
CBO,16,closed,54
ITA,15,closed,54
VGM,27,closed,54
CAR,35,open,54
CBO,18,open,54
ITA,16,open,54
VGM,27,open,54
CAR,96,closed,60
CBO,16,closed,60
ITA,15,closed,60
VGM,26,closed,60
CAR,35,open,60
CBO,18,open,60
ITA,16,open,60
VGM,27,open,60
CAR,85,closed,66
CBO,16,closed,66
ITA,16,closed,66
VGM,26,closed,66
CAR,34,open,66
CBO,18,open,66
ITA,14,open,66
VGM,25,open,66
CAR,84,closed,72
CBO,17,closed,72
ITA,16,closed,72
VGM,26,closed,72
CAR,37,open,72
CBO,23,open,72
ITA,13,open,72
VGM,26,open,72
CAR,81,closed,78
CBO,17,closed,78
ITA,16,closed,78
VGM,26,closed,78
CAR,36,open,78
CBO,24,open,78
ITA,13,open,78
VGM,25,open,78
CAR,80,closed,84
CBO,17,closed,84
ITA,16,closed,84
VGM,25,closed,84
CAR,34,open,84
CBO,24,open,84
ITA,13,open,84
VGM,25,open,84
CAR,73,closed,90
CBO,17,closed,90
ITA,16,closed,90
VGM,25,closed,90
CAR,32,open,90
CBO,22,open,90
ITA,13,open,90
VGM,24,open,90
CAR,74,closed,96
CBO,17,closed,96
ITA,18,closed,96
VGM,25,closed,96
CAR,35,open,96
CBO,22,open,96
ITA,14,open,96
VGM,26,open,96
CBO,16,closed,102
CBO,22,open,102
CBO,17,closed,108
CBO,22,open,108
