Site,Freq,Treatment,Period
CAR,143,closed,0
CBO,108,closed,0
ITA,38,closed,0
VGM,132,closed,0
CAR,140,open,0
CBO,76,open,0
ITA,52,open,0
VGM,100,open,0
CAR,144,closed,06
CBO,113,closed,06
ITA,46,closed,06
VGM,146,closed,06
CAR,112,open,06
CBO,82,open,06
ITA,57,open,06
VGM,111,open,06
CAR,135,closed,12
CBO,115,closed,12
ITA,57,closed,12
VGM,167,closed,12
CAR,86,open,12
CBO,85,open,12
ITA,55,open,12
VGM,125,open,12
CAR,141,closed,18
CBO,111,closed,18
ITA,60,closed,18
VGM,177,closed,18
CAR,86,open,18
CBO,83,open,18
ITA,56,open,18
VGM,126,open,18
CAR,147,closed,24
CBO,111,closed,24
ITA,63,closed,24
VGM,177,closed,24
CAR,92,open,24
CBO,79,open,24
ITA,51,open,24
VGM,126,open,24
CAR,169,closed,30
CBO,119,closed,30
ITA,70,closed,30
VGM,194,closed,30
CAR,103,open,30
CBO,82,open,30
ITA,56,open,30
VGM,121,open,30
CAR,191,closed,36
CBO,120,closed,36
ITA,73,closed,36
VGM,205,closed,36
CAR,111,open,36
CBO,83,open,36
ITA,61,open,36
VGM,124,open,36
CAR,221,closed,42
CBO,116,closed,42
ITA,82,closed,42
VGM,207,closed,42
CAR,122,open,42
CBO,81,open,42
ITA,63,open,42
VGM,120,open,42
CAR,221,closed,48
CBO,112,closed,48
ITA,82,closed,48
VGM,212,closed,48
CAR,115,open,48
CBO,80,open,48
ITA,60,open,48
VGM,116,open,48
CAR,234,closed,54
CBO,90,closed,54
ITA,87,closed,54
VGM,204,closed,54
CAR,120,open,54
CBO,70,open,54
ITA,63,open,54
VGM,119,open,54
CAR,245,closed,60
CBO,90,closed,60
ITA,89,closed,60
VGM,199,closed,60
CAR,114,open,60
CBO,70,open,60
ITA,64,open,60
VGM,116,open,60
CAR,237,closed,66
CBO,90,closed,66
ITA,77,closed,66
VGM,192,closed,66
CAR,118,open,66
CBO,70,open,66
ITA,56,open,66
VGM,117,open,66
CAR,242,closed,72
CBO,117,closed,72
ITA,88,closed,72
VGM,199,closed,72
CAR,116,open,72
CBO,86,open,72
ITA,57,open,72
VGM,122,open,72
CAR,317,closed,78
CBO,104,closed,78
ITA,97,closed,78
VGM,203,closed,78
CAR,206,open,78
CBO,79,open,78
ITA,55,open,78
VGM,112,open,78
CAR,250,closed,84
CBO,110,closed,84
ITA,98,closed,84
VGM,202,closed,84
CAR,153,open,84
CBO,80,open,84
ITA,55,open,84
VGM,110,open,84
CAR,235,closed,90
CBO,109,closed,90
ITA,92,closed,90
VGM,184,closed,90
CAR,111,open,90
CBO,81,open,90
ITA,49,open,90
VGM,95,open,90
CAR,249,closed,96
CBO,114,closed,96
ITA,100,closed,96
VGM,202,closed,96
CAR,127,open,96
CBO,79,open,96
ITA,56,open,96
VGM,105,open,96
CBO,105,closed,102
CBO,67,open,102
CBO,110,closed,108
CBO,75,open,108
