site,treatment,plot,PlotID,Species,abundances,month,time
CAR,closed,1,CAR_closed_1_p0,Astrocaryum aculeatissimum,0,p0,0
CAR,closed,1,CAR_closed_1_p0,Chionanthus filiformis,1,p0,0
CAR,closed,1,CAR_closed_1_p0,Eugenia cuprea,1,p0,0
CAR,closed,1,CAR_closed_1_p0,Euterpe edulis,2,p0,0
CAR,closed,1,CAR_closed_1_p0,Guapira opposita,1,p0,0
CAR,closed,1,CAR_closed_1_p0,Mollinedia schottiana,1,p0,0
CAR,closed,1,CAR_closed_1_p0,Myrcia strigipes,1,p0,0
CAR,closed,1,CAR_closed_1_p0,Sloanea guianensis,1,p0,0
CAR,closed,1,CAR_closed_1_p06,Astrocaryum aculeatissimum,0,p06,6
CAR,closed,1,CAR_closed_1_p06,Chionanthus filiformis,1,p06,6
CAR,closed,1,CAR_closed_1_p06,Eugenia cuprea,1,p06,6
CAR,closed,1,CAR_closed_1_p06,Euterpe edulis,1,p06,6
CAR,closed,1,CAR_closed_1_p06,Guapira opposita,1,p06,6
CAR,closed,1,CAR_closed_1_p06,Mollinedia schottiana,1,p06,6
CAR,closed,1,CAR_closed_1_p06,Myrcia strigipes,1,p06,6
CAR,closed,1,CAR_closed_1_p06,Sloanea guianensis,1,p06,6
CAR,closed,1,CAR_closed_1_p12,Astrocaryum aculeatissimum,0,p12,12
CAR,closed,1,CAR_closed_1_p12,Chionanthus filiformis,1,p12,12
CAR,closed,1,CAR_closed_1_p12,Eugenia cuprea,1,p12,12
CAR,closed,1,CAR_closed_1_p12,Euterpe edulis,1,p12,12
CAR,closed,1,CAR_closed_1_p12,Guapira opposita,1,p12,12
CAR,closed,1,CAR_closed_1_p12,Mollinedia schottiana,1,p12,12
CAR,closed,1,CAR_closed_1_p12,Myrcia strigipes,1,p12,12
CAR,closed,1,CAR_closed_1_p12,Sloanea guianensis,1,p12,12
CAR,closed,1,CAR_closed_1_p18,Astrocaryum aculeatissimum,0,p18,18
CAR,closed,1,CAR_closed_1_p18,Chionanthus filiformis,1,p18,18
CAR,closed,1,CAR_closed_1_p18,Eugenia cuprea,1,p18,18
CAR,closed,1,CAR_closed_1_p18,Euterpe edulis,10,p18,18
CAR,closed,1,CAR_closed_1_p18,Guapira opposita,1,p18,18
CAR,closed,1,CAR_closed_1_p18,Mollinedia schottiana,1,p18,18
CAR,closed,1,CAR_closed_1_p18,Myrcia strigipes,1,p18,18
CAR,closed,1,CAR_closed_1_p18,Sloanea guianensis,1,p18,18
CAR,closed,1,CAR_closed_1_p24,Astrocaryum aculeatissimum,1,p24,24
CAR,closed,1,CAR_closed_1_p24,Chionanthus filiformis,1,p24,24
CAR,closed,1,CAR_closed_1_p24,Eugenia cuprea,1,p24,24
CAR,closed,1,CAR_closed_1_p24,Euterpe edulis,17,p24,24
CAR,closed,1,CAR_closed_1_p24,Guapira opposita,1,p24,24
CAR,closed,1,CAR_closed_1_p24,Mollinedia schottiana,3,p24,24
CAR,closed,1,CAR_closed_1_p24,Myrcia strigipes,1,p24,24
CAR,closed,1,CAR_closed_1_p24,Sloanea guianensis,1,p24,24
CAR,closed,1,CAR_closed_1_p30,Astrocaryum aculeatissimum,1,p30,30
CAR,closed,1,CAR_closed_1_p30,Chionanthus filiformis,1,p30,30
CAR,closed,1,CAR_closed_1_p30,Eugenia cuprea,1,p30,30
CAR,closed,1,CAR_closed_1_p30,Euterpe edulis,16,p30,30
CAR,closed,1,CAR_closed_1_p30,Guapira opposita,1,p30,30
CAR,closed,1,CAR_closed_1_p30,Mollinedia schottiana,3,p30,30
CAR,closed,1,CAR_closed_1_p30,Myrcia strigipes,1,p30,30
CAR,closed,1,CAR_closed_1_p30,Sloanea guianensis,1,p30,30
CAR,closed,1,CAR_closed_1_p36,Astrocaryum aculeatissimum,1,p36,36
CAR,closed,1,CAR_closed_1_p36,Chionanthus filiformis,1,p36,36
CAR,closed,1,CAR_closed_1_p36,Eugenia cuprea,1,p36,36
CAR,closed,1,CAR_closed_1_p36,Euterpe edulis,13,p36,36
CAR,closed,1,CAR_closed_1_p36,Guapira opposita,1,p36,36
CAR,closed,1,CAR_closed_1_p36,Mollinedia schottiana,3,p36,36
CAR,closed,1,CAR_closed_1_p36,Myrcia strigipes,1,p36,36
CAR,closed,1,CAR_closed_1_p36,Sloanea guianensis,1,p36,36
CAR,closed,1,CAR_closed_1_p42,Astrocaryum aculeatissimum,1,p42,42
CAR,closed,1,CAR_closed_1_p42,Chionanthus filiformis,1,p42,42
CAR,closed,1,CAR_closed_1_p42,Eugenia cuprea,1,p42,42
CAR,closed,1,CAR_closed_1_p42,Euterpe edulis,10,p42,42
CAR,closed,1,CAR_closed_1_p42,Guapira opposita,1,p42,42
CAR,closed,1,CAR_closed_1_p42,Mollinedia schottiana,2,p42,42
CAR,closed,1,CAR_closed_1_p42,Myrcia strigipes,1,p42,42
CAR,closed,1,CAR_closed_1_p42,Sloanea guianensis,1,p42,42
CAR,closed,1,CAR_closed_1_p48,Astrocaryum aculeatissimum,1,p48,48
CAR,closed,1,CAR_closed_1_p48,Chionanthus filiformis,1,p48,48
CAR,closed,1,CAR_closed_1_p48,Eugenia cuprea,1,p48,48
CAR,closed,1,CAR_closed_1_p48,Euterpe edulis,13,p48,48
CAR,closed,1,CAR_closed_1_p48,Guapira opposita,1,p48,48
CAR,closed,1,CAR_closed_1_p48,Mollinedia schottiana,2,p48,48
CAR,closed,1,CAR_closed_1_p48,Myrcia strigipes,1,p48,48
CAR,closed,1,CAR_closed_1_p48,Sloanea guianensis,1,p48,48
CAR,closed,1,CAR_closed_1_p54,Astrocaryum aculeatissimum,1,p54,54
CAR,closed,1,CAR_closed_1_p54,Chionanthus filiformis,1,p54,54
CAR,closed,1,CAR_closed_1_p54,Eugenia cuprea,1,p54,54
CAR,closed,1,CAR_closed_1_p54,Euterpe edulis,11,p54,54
CAR,closed,1,CAR_closed_1_p54,Guapira opposita,1,p54,54
CAR,closed,1,CAR_closed_1_p54,Mollinedia schottiana,2,p54,54
