"Site","Freq","Tratment","Period"
"CAR",42,"close","0"
"CBO",7,"close","0"
"ITA",7,"close","0"
"VGM",37,"close","0"
"CAR",96,"open","0"
"CBO",9,"open","0"
"ITA",16,"open","0"
"VGM",40,"open","0"
"CAR",38,"close","06"
"CBO",8,"close","06"
"ITA",4,"close","06"
"VGM",15,"close","06"
"CAR",88,"open","06"
"CBO",4,"open","06"
"ITA",31,"open","06"
"VGM",40,"open","06"
"CAR",11,"close","12"
"CBO",13,"close","12"
"ITA",10,"close","12"
"VGM",45,"close","12"
"CAR",13,"open","12"
"CBO",10,"open","12"
"ITA",41,"open","12"
"VGM",96,"open","12"
"CAR",40,"close","18"
"CBO",9,"close","18"
"ITA",23,"close","18"
"VGM",26,"close","18"
"CAR",23,"open","18"
"CBO",17,"open","18"
"ITA",31,"open","18"
"VGM",52,"open","18"
"CAR",33,"close","24"
"CBO",5,"close","24"
"ITA",18,"close","24"
"VGM",51,"close","24"
"CAR",19,"open","24"
"CBO",8,"open","24"
"ITA",21,"open","24"
"VGM",59,"open","24"
"CAR",44,"close","30"
"CBO",8,"close","30"
"ITA",13,"close","30"
"VGM",36,"close","30"
"CAR",62,"open","30"
"CBO",7,"open","30"
"ITA",9,"open","30"
"VGM",42,"open","30"
"CAR",23,"close","36"
"CBO",14,"close","36"
"ITA",16,"close","36"
"VGM",40,"close","36"
"CAR",24,"open","36"
"CBO",9,"open","36"
"ITA",10,"open","36"
"VGM",43,"open","36"
"CAR",35,"close","42"
"CBO",13,"close","42"
"ITA",25,"close","42"
"VGM",51,"close","42"
"CAR",33,"open","42"
"CBO",12,"open","42"
"ITA",25,"open","42"
"VGM",49,"open","42"
"CAR",37,"close","48"
"ITA",21,"close","48"
"VGM",55,"close","48"
"CAR",36,"open","48"
"ITA",17,"open","48"
"VGM",26,"open","48"
"CAR",36,"close","54"
"ITA",10,"close","54"
"VGM",27,"close","54"
"CAR",26,"open","54"
"ITA",12,"open","54"
"VGM",23,"open","54"
"CAR",85,"close","60"
"ITA",72,"close","60"
"VGM",59,"close","60"
"CAR",52,"open","60"
"ITA",49,"open","60"
"VGM",60,"open","60"
"CAR",28,"close","66"
"CBO",47,"close","66"
"ITA",46,"close","66"
"VGM",25,"close","66"
"CAR",20,"open","66"
"CBO",41,"open","66"
"ITA",29,"open","66"
"VGM",25,"open","66"
"CAR",29,"close","72"
"CBO",23,"close","72"
"ITA",19,"close","72"
"VGM",35,"close","72"
"CAR",26,"open","72"
"CBO",32,"open","72"
"ITA",8,"open","72"
"VGM",32,"open","72"
"CAR",40,"close","78"
"CBO",11,"close","78"
"ITA",19,"close","78"
"VGM",25,"close","78"
"CAR",25,"open","78"
"CBO",15,"open","78"
"ITA",8,"open","78"
"VGM",18,"open","78"
"CAR",678,"close","84"
"CBO",313,"close","84"
"ITA",351,"close","84"
"VGM",646,"close","84"
"CAR",386,"open","84"
"CBO",292,"open","84"
"ITA",169,"open","84"
"VGM",419,"open","84"
