Species,lifeform,freq,prop,bolean
Dichorisandra pubescens,herb,1,0.023348120476301658,FALSE
Pleurostachys cf. urvilei,herb,1,0.023348120476301658,FALSE
Renealmia petasites,herb,1,0.023348120476301658,FALSE
Nematanthus cf. jolyanus,liana,1,0.023348120476301658,FALSE
Bactris setosa,palm,1,0.023348120476301658,FALSE
Ossaea sanguinea,shrub,1,0.023348120476301658,FALSE
Alchornea triplinervia,tree,1,0.023348120476301658,FALSE
Amaioua intermedia,tree,1,0.023348120476301658,FALSE
Andira anthelmia,tree,1,0.023348120476301658,FALSE
Calophyllum brasiliense,tree,1,0.023348120476301658,FALSE
Calyptranthes lanceolata,tree,1,0.023348120476301658,FALSE
Casearia cf. sylvestris,tree,1,0.023348120476301658,FALSE
Chrysophyllum cf. flexuosum,tree,1,0.023348120476301658,FALSE
Dahlstedtia pinnata,tree,1,0.023348120476301658,FALSE
Endlicheria paniculata,tree,1,0.023348120476301658,FALSE
Eugenia aff. stigmatosa,tree,1,0.023348120476301658,FALSE
Eugenia cf. handroana,tree,1,0.023348120476301658,FALSE
Eugenia cf. oblongata,tree,1,0.023348120476301658,FALSE
Eugenia cf. stigmatosa,tree,1,0.023348120476301658,FALSE
Eugenia neoglomerata,tree,1,0.023348120476301658,FALSE
Eugenia riedeliana,tree,1,0.023348120476301658,FALSE
Eugenia sulcata,tree,1,0.023348120476301658,FALSE
Eugenia supraaxillaris,tree,1,0.023348120476301658,FALSE
Inga edulis,tree,1,0.023348120476301658,FALSE
Magnolia ovata,tree,1,0.023348120476301658,FALSE
Matayba obovata,tree,1,0.023348120476301658,FALSE
Metrodorea nigra,tree,1,0.023348120476301658,FALSE
Miconia cabussu,tree,1,0.023348120476301658,FALSE
Myrcia tenuivenosa,tree,1,0.023348120476301658,FALSE
Ocotea odorifera,tree,1,0.023348120476301658,FALSE
Pisonia ambigua,tree,1,0.023348120476301658,FALSE
Pourouma guianensis,tree,1,0.023348120476301658,FALSE
Psychotria mapourioides,tree,1,0.023348120476301658,FALSE
Pterocarpus rohrii,tree,1,0.023348120476301658,FALSE
Pterocarpus violaceus,tree,1,0.023348120476301658,FALSE
Sloanea cf. guianensis,tree,1,0.023348120476301658,FALSE
Sloanea hirsuta,tree,1,0.023348120476301658,FALSE
Solanum cf. swartzianum,tree,1,0.023348120476301658,FALSE
Xylosma glaberrima,tree,1,0.023348120476301658,FALSE
Anthurium scandens,herb,2,0.046696240952603316,FALSE
Dichorisandra cf. paranaensis,herb,2,0.046696240952603316,FALSE
Dichorisandra cf. thyrsiflora,herb,2,0.046696240952603316,FALSE
Elaphoglossum glaziovii,herb,2,0.046696240952603316,FALSE
Lygodium volubile,herb,2,0.046696240952603316,FALSE
Piper cf. aduncum,herb,2,0.046696240952603316,FALSE
Piper pseudopothifolium,herb,2,0.046696240952603316,FALSE
Piper setebarraensis,herb,2,0.046696240952603316,FALSE
Pleurostachys gaudichaudii,herb,2,0.046696240952603316,FALSE
Strychnos trinervis,liana,2,0.046696240952603316,FALSE
Daphnopsis schwackeana,shrub,2,0.046696240952603316,FALSE
Alibertia cf. myrciifolia,tree,2,0.046696240952603316,FALSE
Casearia obliqua,tree,2,0.046696240952603316,FALSE
Chrysophyllum flexuosum,tree,2,0.046696240952603316,FALSE
Cupania vernalis,tree,2,0.046696240952603316,FALSE
Erythroxylum cf. ambiguum,tree,2,0.046696240952603316,FALSE
