Site,Freq,Treatment,Period
CAR,42,closed,0
CBO,7,closed,0
ITA,7,closed,0
VGM,37,closed,0
CAR,96,open,0
CBO,9,open,0
ITA,16,open,0
VGM,40,open,0
CAR,43,closed,06
CBO,10,closed,06
ITA,51,closed,06
VGM,53,closed,06
CAR,22,open,06
CBO,8,open,06
ITA,26,open,06
VGM,49,open,06
CAR,13,closed,12
CBO,8,closed,12
ITA,37,closed,12
VGM,57,closed,12
CAR,10,open,12
CBO,19,open,12
ITA,16,open,12
VGM,47,open,12
CAR,44,closed,18
CBO,7,closed,18
ITA,25,closed,18
VGM,40,closed,18
CAR,17,open,18
CBO,6,open,18
ITA,25,open,18
VGM,37,open,18
CAR,73,closed,24
CBO,10,closed,24
ITA,18,closed,24
VGM,21,closed,24
CAR,58,open,24
CBO,3,open,24
ITA,12,open,24
VGM,25,open,24
CAR,86,closed,30
CBO,34,closed,30
ITA,30,closed,30
VGM,57,closed,30
CAR,68,open,30
CBO,23,open,30
ITA,30,open,30
VGM,38,open,30
CAR,127,closed,36
CBO,8,closed,36
ITA,55,closed,36
VGM,85,closed,36
CAR,77,open,36
CBO,10,open,36
ITA,31,open,36
VGM,98,open,36
CAR,87,closed,42
CBO,12,closed,42
ITA,36,closed,42
VGM,50,closed,42
CAR,56,open,42
CBO,8,open,42
ITA,17,open,42
VGM,32,open,42
CAR,36,closed,48
CBO,8,closed,48
ITA,17,closed,48
VGM,34,closed,48
CAR,33,open,48
CBO,7,open,48
ITA,6,open,48
VGM,34,open,48
CAR,77,closed,54
ITA,102,closed,54
VGM,37,closed,54
CAR,34,open,54
ITA,42,open,54
VGM,39,open,54
CAR,44,closed,60
ITA,39,closed,60
VGM,31,closed,60
CAR,21,open,60
ITA,22,open,60
VGM,25,open,60
CAR,57,closed,66
ITA,25,closed,66
VGM,47,closed,66
CAR,37,open,66
ITA,18,open,66
VGM,34,open,66
CAR,39,closed,72
CBO,83,closed,72
ITA,32,closed,72
VGM,35,closed,72
CAR,31,open,72
CBO,68,open,72
ITA,7,open,72
VGM,22,open,72
CAR,49,closed,78
CBO,32,closed,78
ITA,38,closed,78
VGM,38,closed,78
CAR,65,open,78
CBO,42,open,78
ITA,13,open,78
VGM,41,open,78
CAR,32,closed,84
CBO,27,closed,84
ITA,14,closed,84
VGM,29,closed,84
CAR,23,open,84
CBO,21,open,84
ITA,5,open,84
VGM,18,open,84
CBO,15,closed,90
CBO,33,open,90
CBO,11,closed,96
CBO,11,open,96
CBO,105,closed,108
CBO,151,open,108
