life_form,frequence,time,treatment,,frequence_herb_close,frequencepct_herb_close,Period,frequence_herb_open,frequencepct_herb_open,,frequence_liana_close,frequencepct_liana_close,Period,frequencepct_liana_open,frequence_liana_open,,frequence_trees_close,frequencepct_trees_close,Period,frequencepct_trees_open,frequence_trees_open,,frequence_palm_close,frequencepct_palm_close,Period,frequencepct_palm_open,frequence_palm_open,,frequence_bamboo_close,frequencepct_bamboo_close,Period,frequencepct_bamboo_open,frequence_bamboo_open,,frequence_total_close,frequencepct_total_close,Period,frequencepct_total_open,frequence_total_open
herb,34,0,close,,34,5.11,0,70,11.78,,163,42.89,0,40.3,79,,138,10.8,0,14.22,140,,160,17.35,0,25.03,197,,5,4.8,0,15.73,14,,604,14.92,0,19.46,632
herb,123,12,close,,123,18.49,12,185,31.14,,85,22.36,12,29.59,58,,251,19.65,12,30.58,301,,337,36.55,12,43.83,345,,32,30.76,12,29.21,26,,1095,27.06,12,36.16,1172
herb,127,24,close,,127,19.09,24,103,17.34,,53,13.94,24,12.75,25,,216,16.91,24,17.17,169,,183,19.84,24,15.24,120,,18,17.3,24,12.35,11,,763,18.85,24,16.22,526
herb,114,48,close,,114,17.14,48,99,16.66,,27,7.1,48,6.63,13,,220,17.22,48,11.48,113,,94,10.19,48,7.36,58,,17,16.34,48,12.35,11,,556,13.74,48,11.07,359
herb,61,72,close,,61,9.17,72,42,7.07,,11,2.89,72,2.04,4,,87,6.81,72,6.91,68,,66,7.15,72,2.92,23,,8,7.69,72,11.23,10,,254,6.27,72,4.87,158
herb,206,84,close,,206,30.97,84,95,19.99,,41,10.78,84,8.67,17,,365,28.58,84,19.61,193,,82,8.89,84,5.59,44,,24,23.07,84,19.1,17,,774,19.13,84,12.15,394
herb,70,0,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herb,185,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herb,103,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herb,99,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herb,42,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herb,95,84,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,163,0,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,85,12,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,53,24,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
