Site,Plot,Treatment,Freq
CAR,1,closed,28
CAR,1,open,21
CAR,2,closed,40
CAR,2,open,39
CAR,3,closed,29
CAR,3,open,25
CAR,4,closed,36
CAR,4,open,24
CAR,5,closed,22
CAR,5,open,35
CAR,8,closed,35
CAR,8,open,27
CAR,9,closed,40
CAR,9,open,31
CAR,10,closed,29
CAR,10,open,24
CAR,11,closed,32
CAR,11,open,32
CAR,12,closed,23
CAR,12,open,24
CAR,14,closed,34
CAR,14,open,27
CAR,15,closed,29
CAR,15,open,27
CBO,1,closed,36
CBO,1,open,36
CBO,2,closed,20
CBO,2,open,20
CBO,4,closed,29
CBO,4,open,22
CBO,5,closed,27
CBO,5,open,20
CBO,6,closed,22
CBO,6,open,36
CBO,9,closed,27
CBO,9,open,23
CBO,11,closed,30
CBO,11,open,35
CBO,12,closed,12
CBO,12,open,22
CBO,14,closed,27
CBO,14,open,24
CBO,15,closed,25
CBO,15,open,24
ITA,1,closed,30
ITA,1,open,32
ITA,2,closed,30
ITA,2,open,23
ITA,4,closed,27
ITA,4,open,25
ITA,6,closed,26
ITA,6,open,27
ITA,8,closed,26
ITA,8,open,29
ITA,10,closed,17
ITA,10,open,12
ITA,12,closed,18
ITA,12,open,13
ITA,14,closed,23
ITA,14,open,21
ITA,15,closed,21
ITA,15,open,27
VGM,1,closed,18
VGM,1,open,15
VGM,4,closed,43
VGM,4,open,36
VGM,5,closed,42
VGM,5,open,33
VGM,6,closed,35
VGM,6,open,43
VGM,7,closed,27
VGM,7,open,24
VGM,8,closed,33
VGM,8,open,33
VGM,9,closed,39
VGM,9,open,28
VGM,10,closed,26
VGM,10,open,16
VGM,11,closed,34
VGM,11,open,24
VGM,12,closed,29
VGM,12,open,32
VGM,14,closed,22
VGM,14,open,26
VGM,15,closed,29
VGM,15,open,13
