Index,Site,Plot,Treatment,Individual,Trecruit,Tdeath,Species,Family,Life Form,alive
1,CAR,1,open,C1,0,36,Araceae sp.,Araceae,herb,1
2,CAR,1,open,C2,0,12,Chionanthus filiformis,Oleaceae,tree,1
3,CAR,1,open,C3,0,12,Guarea macrophylla,Meliaceae,tree,1
4,CAR,1,open,C4,0,84,Eugenia cuprea,Myrtaceae,tree,0
5,CAR,1,open,C5,0,84,Goeppertia sp.,Marantaceae,herb,0
6,CAR,1,open,C6,0,84,Goeppertia sp.,Marantaceae,herb,0
7,CAR,1,open,C7,24,36,Euterpe edulis,Arecaceae,palm,1
8,CAR,1,open,C8,24,54,Serjania sp.,Sapindaceae,liana,1
9,CAR,1,open,C9,30,84,Gomidesia sp.,Myrtaceae,tree,0
10,CAR,1,open,C10,30,84,Philodendron sp.,Araceae,herb,0
11,CAR,1,open,C11,30,84,Indeterminate sp.,Indeterminate,indeterminate,0
12,CAR,1,open,C12,36,84,Euterpe edulis,Arecaceae,palm,0
13,CAR,1,open,C13,36,66,Indeterminate sp.,Indeterminate,indeterminate,1
14,CAR,1,open,C14,36,78,Inga sp.,Fabaceae,tree,1
15,CAR,1,open,C15,36,48,Mollinedia cf.,Monimiaceae,tree,1
16,CAR,1,open,C16,36,42,Indeterminate sp.,Indeterminate,indeterminate,1
17,CAR,1,open,C18,48,72,Indeterminate sp.,Indeterminate,indeterminate,1
18,CAR,1,open,C19,48,54,Indeterminate sp.,Indeterminate,indeterminate,1
19,CAR,1,open,C20,54,60,Indeterminate sp.,Indeterminate,indeterminate,1
20,CAR,1,open,C21,60,78,Indeterminate sp.,Indeterminate,indeterminate,1
21,CAR,1,open,C22,78,84,Indeterminate sp.,Indeterminate,indeterminate,0
22,CAR,1,open,D1,0,12,Araceae sp.,Araceae,herb,1
23,CAR,1,open,D2,0,6,Indeterminate sp.,Indeterminate,indeterminate,1
24,CAR,1,open,D3,0,84,Goeppertia sp.,Marantaceae,herb,0
25,CAR,1,open,D4,0,84,Goeppertia sp.,Marantaceae,herb,0
26,CAR,1,open,D5,30,42,Indeterminate sp.,Indeterminate,indeterminate,1
